n121_eagleowl_or_reverif_v118_v130.htm — EagleOwl_v1 · XAUUSD.p · 8652 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      509  1.47   2.25     123   4.13  155   65 |   215/60    146/61    196/56    -48/49 
Gold Reaper 6|1913.91      5       78 106.74  15.57       1  68.29    3    1 |     0/0       0/0      78/5       0/0  
Gold Reaper 7|1937.37      2       63   inf  31.60       0 789.88    1    1 |     0/0       0/0      63/2       0/0  
Gold Reaper 7|2222.93      5       62   inf  12.46       0 311.40    0    5 |     0/0       0/0       0/0      62/5  
Gold Reaper 5|1993.40      9       61   inf   6.75       0 168.81    0    9 |     0/0       0/0      61/9       0/0  
GoldDaily2|2065.45         1       60   inf  59.95       0 1498.75    1    0 |     0/0       0/0       0/0      60/1  
Gold Reaper 7|2666.84      5       58   inf  11.64       0 363.69    1    4 |     0/0       0/0       0/0      58/5  
Gold Reaper 4|1914.10      1       58   inf  57.95       0 1448.75    0    1 |     0/0      58/1       0/0       0/0  
Gold Reaper 7|2365.35      4       54   inf  13.62       0 340.44    3    1 |     0/0       0/0       0/0      54/4  
Gold Reaper 7|2406.26      4       53   inf  13.36       0 334.00    0    4 |     0/0       0/0       0/0      53/4  
Gold Reaper 7|2324.27      4       53   inf  13.23       0 330.75    0    4 |     0/0       0/0       0/0      53/4  
Gold Reaper 6|1858.22      2       52 16.11  25.84       4  14.39    0    1 |     0/0       0/0      52/2       0/0  
Gold Reaper 7|2058.21      5       51   inf  10.25       0 256.30    0    5 |     0/0       0/0       0/0      51/5  
Gold Reaper 7|1993.40      5       51   inf  10.17       0 254.20    0    5 |     0/0       0/0      51/5       0/0  
Gold Reaper 5|1825.04      8       48   inf   6.01       0 150.25    1    7 |     0/0      48/8       0/0       0/0  
GoldDaily2|2685.58         1       47   inf  47.06       0 1176.50    1    0 |     0/0       0/0       0/0      47/1  
Gold Reaper 6|2000.90      4       47  4.41  11.65      14   3.31    1    1 |     0/0       0/0      47/4       0/0  
GoldDaily2|1884.84         1       44   inf  44.39       0 1109.75    1    0 |     0/0       0/0      44/1       0/0  
Gold Reaper 6|2632.45      5       44   inf   8.72       0 217.95    0    5 |     0/0       0/0       0/0      44/5  
Gold Reaper 7|1954.24      4       43   inf  10.86       0 271.50    0    4 |     0/0       0/0      43/4       0/0  
Gold Reaper 6|2758.45      4       43   inf  10.83       0 270.81    0    4 |     0/0       0/0       0/0      43/4  
GoldDaily1|1810.41         1       43   inf  42.68       0 1067.00    1    0 |    43/1       0/0       0/0       0/0  
Gold Reaper 5|2020.20      6       42   inf   6.94       0 173.46    0    6 |     0/0       0/0       0/0      42/6  
Gold Reaper 5|1843.65      3       41   inf  13.61       0 340.17    1    2 |    41/3       0/0       0/0       0/0  
Gold Reaper 7|2354.77      5       41   inf   8.13       0 253.94    1    4 |     0/0       0/0       0/0      41/5  
GoldbotOne_8|2195.21       1       40   inf  40.18       0 1004.50    0    1 |     0/0       0/0       0/0      40/1  
Gold Reaper 7|2337.11      6       40   inf   6.68       0 250.50    4    2 |     0/0       0/0       0/0      40/6  
Gold Reaper 7|1825.04      5       40 28.52   8.01       2  21.42    1    3 |     0/0      40/5       0/0       0/0  
GoldDaily1|2529.04         1       40   inf  40.02       0 1000.50    1    0 |     0/0       0/0       0/0      40/1  
Gold Reaper 7|2633.15      3       40   inf  13.17       0 329.33    0    3 |     0/0       0/0       0/0      40/3  
Gold Reaper 5|2670.57      4       39   inf   9.76       0 243.94    1    3 |     0/0       0/0       0/0      39/4  
GoldDaily3|1782.36         1       39   inf  38.97       0 974.25    0    1 |    39/1       0/0       0/0       0/0  
GoldDaily3|2432.03         2       39   inf  19.35       0 967.25    1    1 |     0/0       0/0       0/0      39/2  
goldtrade_H|1820.20        6       39   inf   6.42       0 240.88    6    0 |    17/4      21/2       0/0       0/0  
Gold Reaper 6|2319.86      5       38   inf   7.57       0 189.15    0    5 |     0/0       0/0       0/0      38/5  
Gold Reaper 4|1784.55      1       38   inf  37.82       0 945.50    1    0 |     0/0      38/1       0/0       0/0  
Gold Reaper 6|2030.11      3       37   inf  12.31       0 307.83    2    1 |     0/0       0/0       0/0      37/3  
