n121_eagleowl_or_reverif_v141.htm — EagleOwl_v1 · XAUUSD.p · 6690 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     300      946  1.66   3.15     175   5.39  200   98 |   228/74    262/78    280/82    176/66 
Gold Reaper 6|1913.91      5      123 167.66  24.59       1 107.83    1    3 |     0/0       0/0     123/5       0/0  
Gold Reaper 7|1805.80      2       63   inf  31.60       0 790.12    0    2 |    63/2       0/0       0/0       0/0  
Gold Reaper 7|1937.37      2       63   inf  31.60       0 789.88    1    1 |     0/0       0/0      63/2       0/0  
GoldDaily2|2065.45         1       60   inf  59.95       0 1498.75    1    0 |     0/0       0/0       0/0      60/1  
Gold Reaper 7|2365.35      4       54   inf  13.62       0 340.44    3    1 |     0/0       0/0       0/0      54/4  
Gold Reaper 6|2000.90      4       54  4.97  13.55      14   3.85    2    0 |     0/0       0/0      54/4       0/0  
Gold Reaper 7|2324.27      4       53   inf  13.23       0 330.75    0    4 |     0/0       0/0       0/0      53/4  
GoldDaily1|2670.20         1       47   inf  47.06       0 1176.50    1    0 |     0/0       0/0       0/0      47/1  
GoldDaily2|1884.84         1       44   inf  44.39       0 1109.75    1    0 |     0/0       0/0      44/1       0/0  
Gold Reaper 7|1954.24      4       43   inf  10.86       0 271.50    0    4 |     0/0       0/0      43/4       0/0  
Gold Reaper 6|2758.45      4       43   inf  10.83       0 270.81    0    4 |     0/0       0/0       0/0      43/4  
GoldbotOne_8|2195.21       1       40   inf  40.16       0 1004.00    0    1 |     0/0       0/0       0/0      40/1  
Gold Reaper 7|2633.15      3       40   inf  13.17       0 329.33    0    3 |     0/0       0/0       0/0      40/3  
Gold Reaper 5|2670.57      4       39   inf   9.76       0 243.94    1    3 |     0/0       0/0       0/0      39/4  
GoldDaily3|1782.36         1       39   inf  38.97       0 974.25    0    1 |    39/1       0/0       0/0       0/0  
Gold Reaper 4|1784.55      1       38   inf  37.82       0 945.50    1    0 |     0/0      38/1       0/0       0/0  
GoldDaily3|1752.19         1       37   inf  36.69       0 917.25    1    0 |     0/0      37/1       0/0       0/0  
Gold Reaper 6|1845.23      1       36   inf  35.94       0 898.50    0    1 |    36/1       0/0       0/0       0/0  
GoldDaily1|2708.77         1       36   inf  35.66       0 891.50    0    1 |     0/0       0/0       0/0      36/1  
Gold Reaper 7|1874.07      1       35   inf  35.25       0 881.25    0    1 |     0/0      35/1       0/0       0/0  
Gold Reaper 7|1691.43      1       35   inf  34.91       0 872.75    0    1 |     0/0      35/1       0/0       0/0  
GoldDaily3|1640.15         1       35   inf  34.82       0 870.50    0    1 |     0/0      35/1       0/0       0/0  
Gold Reaper 5|2758.45      3       35   inf  11.60       0 290.00    0    3 |     0/0       0/0       0/0      35/3  
Gold Reaper 4|1799.16      1       35   inf  34.57       0 864.25    0    1 |    35/1       0/0       0/0       0/0  
Gold Reaper 6|2670.57      5       34 28.57   6.76       2  20.60    0    4 |     0/0       0/0       0/0      34/5  
Gold Reaper 6|2657.18      1       33   inf  33.46       0 836.50    0    1 |     0/0       0/0       0/0      33/1  
Gold Reaper 5|1934.42      5       32   inf   6.48       0 161.90    0    5 |     0/0       0/0      32/5       0/0  
Gold Reaper 4|2643.35      1       32   inf  32.38       0 809.50    1    0 |     0/0       0/0       0/0      32/1  
Gold Reaper 6|1954.24      5       32   inf   6.44       0 161.10    0    5 |     0/0       0/0      32/5       0/0  
Gold Reaper 5|2018.10      6       32 16.62   5.31       3  12.49    0    5 |     0/0       0/0      32/6       0/0  
Gold Reaper 5|1829.58      2       32   inf  15.85       0 396.25    0    2 |    32/2       0/0       0/0       0/0  
Gold Reaper 6|1925.94      5       32   inf   6.33       0 158.20    0    5 |     0/0       0/0      32/5       0/0  
Gold Reaper 7|1843.65      4       31   inf   7.84       0 195.94    2    2 |    31/4       0/0       0/0       0/0  
GoldbotOne_8|2685.58       1       31   inf  30.82       0 770.50    0    1 |     0/0       0/0       0/0      31/1  
GoldDaily3|2392.92         1       31   inf  30.65       0 766.25    0    1 |     0/0       0/0       0/0      31/1  
Gold Reaper 7|2337.11      3       31   inf  10.20       0 255.08    1    2 |     0/0       0/0       0/0      31/3  
GoldDaily3|2450.11         1       31   inf  30.55       0 763.75    0    1 |     0/0       0/0       0/0      31/1  
