jeu,mois,net
M5_C,2021-01,-10.89
M5_C,2021-02,-9.95
M5_C,2021-03,4.93
M5_C,2021-04,0.12
M5_C,2021-05,4.70
M5_C,2021-06,4.23
M5_C,2021-07,19.91
M5_C,2021-08,94.48
M5_C,2021-09,-3.90
M5_C,2021-10,-20.81
M5_C,2021-11,126.21
M5_C,2021-12,0.56
M5_C,2022-01,34.69
M5_C,2022-02,95.23
M5_C,2022-03,14.69
M5_C,2022-04,21.65
M5_C,2022-05,26.00
M5_C,2022-06,-11.33
M5_C,2022-07,72.49
M5_C,2022-08,-40.58
M5_C,2022-09,-25.67
M5_C,2022-10,21.71
M5_C,2022-11,38.55
M5_C,2022-12,36.51
M5_C,2023-01,33.31
M5_C,2023-02,39.67
M5_C,2023-03,-15.89
M5_C,2023-04,-4.76
M5_C,2023-05,-78.21
M5_C,2023-06,-14.32
M5_C,2023-07,-7.00
M5_C,2023-08,-35.02
M5_C,2023-09,40.71
M5_C,2023-10,64.19
M5_C,2023-11,18.14
M5_C,2023-12,229.91
M5_C,2024-01,4.99
M5_C,2024-02,9.65
M5_C,2024-03,-19.70
M5_C,2024-04,-39.30
M5_C,2024-05,41.22
M5_C,2024-06,76.47
M5_C,2024-07,6.38
M5_C,2024-08,24.73
M5_C,2024-09,6.49
M5_C,2024-10,-15.01
M5_C,2024-11,-33.81
M5_C,2024-12,82.06
M5_H,2021-01,17.73
M5_H,2021-05,-24.37
M5_H,2021-06,29.91
M5_H,2021-08,1.98
M5_H,2021-09,-51.52
M5_H,2021-10,-28.64
M5_H,2021-11,67.97
M5_H,2022-01,-20.21
M5_H,2022-02,14.39
M5_H,2022-05,-20.95
M5_H,2022-06,19.18
M5_H,2022-07,-30.92
M5_H,2022-08,-31.80
M5_H,2022-09,-81.49
M5_H,2022-10,0.11
M5_H,2022-11,5.68
M5_H,2022-12,-16.75
M5_H,2023-02,16.53
M5_H,2023-03,15.06
M5_H,2023-04,-62.53
M5_H,2023-05,-27.31
M5_H,2023-06,-31.25
M5_H,2023-07,-33.61
M5_H,2023-08,1.03
M5_H,2023-09,32.29
M5_H,2023-10,-26.19
M5_H,2023-11,-5.04
M5_H,2023-12,145.54
M5_H,2024-01,-73.75
M5_H,2024-02,-6.12
M5_H,2024-03,79.70
M5_H,2024-04,-25.14
M5_H,2024-05,-37.66
M5_H,2024-06,22.13
M5_H,2024-07,-14.35
M5_H,2024-08,-27.13
M5_H,2024-09,-29.05
M5_H,2024-10,22.28
M5_H,2024-12,10.23
Gold Reaper 6|1900.78,2021-01,6.36
Gold Reaper 7|1900.78,2021-01,10.53
Gold Reaper 5|1900.78,2021-01,6.60
Gold Reaper 7|1868.92,2021-01,10.83
Gold Reaper 4|1854.85,2021-01,-9.65
GoldDaily1|1854.85,2021-01,24.75
GoldbotOne_8|1854.85,2021-01,-4.35
GoldDaily3|1854.85,2021-01,20.93
DaytradePro_XAUUSD|1818.44,2021-01,-8.40
goldtrade_H|1818.44,2021-01,-1.75
goldtrade_D|1818.44,2021-01,-10.94
GoldDaily1|1818.44,2021-01,-16.58
GoldbotOne_8|1818.44,2021-01,-11.75
GoldDaily3|1818.44,2021-01,-18.23
Gold Reaper 6|1828.39,2021-01,0.13
Gold Reaper 7|1828.39,2021-01,0.48
Gold Reaper 5|1828.39,2021-01,0.53
DaytradePro_XAUUSD|1816.76,2021-01,10.70
goldtrade_H|1816.76,2021-01,4.60
Gold Reaper 4|1816.76,2021-01,1.52
goldtrade_D|1816.76,2021-01,14.16
Gold Reaper 6|1816.76,2021-01,6.10
Gold Reaper 7|1816.76,2021-01,10.13
goldtrade_E|1816.76,2021-01,7.29
GoldDaily1|1816.76,2021-01,2.21
GoldDaily2|1816.76,2021-01,1.38
GoldbotOne_8|1816.76,2021-01,2.05
GoldDaily3|1816.76,2021-01,-0.12
Gold Reaper 6|1863.80,2021-01,4.92
Gold Reaper 7|1863.80,2021-01,3.24
Gold Reaper 6|1837.31,2021-01,-0.74
Gold Reaper 7|1837.31,2021-01,-23.75
Gold Reaper 5|1837.31,2021-01,0.71
Gold Reaper 6|1832.28,2021-01,-14.36
Gold Reaper 7|1832.28,2021-01,0.07
Gold Reaper 5|1864.03,2021-01,-2.43
Gold Reaper 6|1867.93,2021-01,-2.38
Gold Reaper 5|1867.93,2021-01,6.07
Gold Reaper 7|1867.93,2021-01,0.50
goldtrade_D|1875.11,2021-01,-10.95
goldtrade_H|1875.11,2021-01,-8.78
DaytradePro_XAUUSD|1875.11,2021-01,-8.45
Gold Reaper 6|1875.11,2021-01,-8.73
Gold Reaper 4|1875.11,2021-01,-9.42
Gold Reaper 7|1875.11,2021-01,-16.05
GoldDaily3|1875.11,2021-01,-21.44
GoldDaily1|1875.11,2021-01,-16.48
GoldbotOne_8|1875.11,2021-01,-12.58
DaytradePro_XAUUSD|1831.27,2021-02,-2.06
Gold Reaper 4|1831.27,2021-02,-2.36
Gold Reaper 6|1831.27,2021-02,-1.99
goldtrade_D|1831.27,2021-02,-2.06
Gold Reaper 7|1831.27,2021-02,-7.21
Gold Reaper 5|1831.27,2021-02,-3.97
GoldDaily1|1831.27,2021-02,-2.00
GoldbotOne_8|1831.27,2021-02,-1.92
GoldDaily3|1831.27,2021-02,-9.01
Gold Reaper 7|1829.58,2021-02,2.38
Gold Reaper 5|1829.58,2021-02,31.70
Gold Reaper 6|1829.58,2021-02,6.06
DaytradePro_XAUUSD|1802.16,2021-02,10.79
goldtrade_H|1802.16,2021-02,7.53
goldtrade_D|1802.16,2021-02,14.12
goldtrade_E|1802.16,2021-02,17.67
GoldDaily1|1802.16,2021-02,-9.83
GoldDaily2|1802.16,2021-02,7.15
GoldbotOne_8|1802.16,2021-02,7.15
Gold Reaper 5|1848.57,2021-02,6.29
Gold Reaper 6|1848.57,2021-02,6.01
Gold Reaper 7|1848.57,2021-02,-10.47
Gold Reaper 4|1810.59,2021-02,3.13
Gold Reaper 6|1810.59,2021-02,6.01
Gold Reaper 7|1810.59,2021-02,2.16
Gold Reaper 5|1810.59,2021-02,6.19
DaytradePro_XAUUSD|1785.04,2021-02,-21.40
goldtrade_H|1785.04,2021-02,7.50
Gold Reaper 4|1785.04,2021-02,-1.59
goldtrade_D|1785.04,2021-02,10.37
Gold Reaper 7|1785.04,2021-02,0.27
goldtrade_E|1785.04,2021-02,-6.49
GoldDaily1|1785.04,2021-02,2.25
GoldDaily2|1785.04,2021-02,2.13
GoldbotOne_8|1785.04,2021-02,10.05
GoldDaily3|1785.04,2021-02,1.53
Gold Reaper 5|1769.54,2021-02,0.78
DaytradePro_XAUUSD|1764.22,2021-02,-0.89
goldtrade_E|1764.22,2021-02,0.41
GoldDaily2|1764.22,2021-02,-9.10
GoldbotOne_8|1764.22,2021-02,-12.18
GoldDaily3|1764.22,2021-02,-20.65
Gold Reaper 5|1783.61,2021-02,0.47
DaytradePro_XAUUSD|1760.64,2021-02,0.45
goldtrade_H|1760.64,2021-02,0.12
Gold Reaper 4|1760.64,2021-02,-1.99
Gold Reaper 6|1760.64,2021-02,5.93
goldtrade_D|1760.64,2021-02,-7.33
Gold Reaper 7|1760.64,2021-02,-7.43
goldtrade_E|1760.64,2021-02,-1.60
Gold Reaper 5|1760.64,2021-02,23.31
GoldDaily1|1760.64,2021-02,-0.04
GoldDaily1|1760.64,2021-03,21.92
GoldDaily2|1760.64,2021-02,-0.54
GoldbotOne_8|1760.64,2021-02,-1.94
GoldDaily3|1760.64,2021-02,19.40
Gold Reaper 6|1717.19,2021-03,0.11
Gold Reaper 7|1717.19,2021-03,0.44
Gold Reaper 5|1717.19,2021-03,0.47
Gold Reaper 6|1707.17,2021-03,11.35
Gold Reaper 7|1707.17,2021-03,0.11
Gold Reaper 5|1707.17,2021-03,-19.98
GoldbotOne_8|1704.16,2021-03,1.61
GoldDaily3|1704.16,2021-03,-11.86
Gold Reaper 6|1701.93,2021-03,0.10
Gold Reaper 7|1701.93,2021-03,0.45
Gold Reaper 5|1701.93,2021-03,0.47
Gold Reaper 6|1687.32,2021-03,0.11
Gold Reaper 7|1687.32,2021-03,0.44
Gold Reaper 5|1687.32,2021-03,0.47
Gold Reaper 6|1714.29,2021-03,5.54
Gold Reaper 5|1714.29,2021-03,5.74
Gold Reaper 7|1714.29,2021-03,0.11
Gold Reaper 5|1720.65,2021-03,15.45
goldtrade_D|1739.84,2021-03,-6.43
DaytradePro_XAUUSD|1739.84,2021-03,0.44
Gold Reaper 6|1739.84,2021-03,-10.05
Gold Reaper 5|1739.84,2021-03,-1.11
Gold Reaper 4|1739.84,2021-03,-7.86
Gold Reaper 7|1739.84,2021-03,-12.09
GoldDaily3|1739.84,2021-03,-14.55
GoldDaily1|1739.84,2021-03,-1.07
GoldbotOne_8|1739.84,2021-03,-8.72
Gold Reaper 6|1741.21,2021-03,4.93
Gold Reaper 5|1741.21,2021-03,-12.23
Gold Reaper 7|1741.21,2021-03,-1.01
Gold Reaper 5|1724.02,2021-03,1.68
Gold Reaper 6|1727.36,2021-03,-1.47
Gold Reaper 7|1727.36,2021-03,-1.17
Gold Reaper 5|1727.36,2021-03,-1.64
Gold Reaper 6|1723.96,2021-03,-4.76
Gold Reaper 6|1742.55,2021-03,-1.02
Gold Reaper 7|1742.55,2021-03,-1.95
Gold Reaper 4|1723.96,2021-03,-3.58
