n132_eagleowl_or_b2_v104_v130.htm — EagleOwl_v1 · XAUUSD.p · 8136 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      522  1.47   2.31     106   4.92  142   71 |   160/60    156/61    249/56    -43/49 
Gold Reaper 1|2758.45      5       99   inf  19.87       0 496.85    0    5 |     0/0       0/0       0/0      99/5  
Gold Reaper 1|1785.04      9       85 18.91   9.45       5  16.02    0    7 |    85/9       0/0       0/0       0/0  
Gold Reaper 8|2613.45      5       63   inf  12.55       0 523.00    0    5 |     0/0       0/0       0/0      63/5  
Gold Reaper 1|2222.93      5       61 21.35  12.13       3  17.84    0    4 |     0/0       0/0       0/0      61/5  
Gold Reaper 7|2222.93      5       61   inf  12.10       0 302.55    0    5 |     0/0       0/0       0/0      61/5  
GoldDaily2|2065.45         1       60   inf  59.87       0 1496.75    1    0 |     0/0       0/0       0/0      60/1  
Gold Reaper 4|1914.10      1       58   inf  57.95       0 1448.75    0    1 |     0/0      58/1       0/0       0/0  
Gold Reaper 7|2058.21      5       56 51.99  11.24       2  37.22    0    4 |     0/0       0/0       0/0      56/5  
Gold Reaper 8|1820.20      7       54   inf   7.69       0 192.32    0    7 |    54/7       0/0       0/0       0/0  
Gold Reaper 7|2324.27      4       53   inf  13.21       0 330.25    0    4 |     0/0       0/0       0/0      53/4  
Gold Reaper 7|1954.24      5       52   inf  10.38       0 324.25    0    5 |     0/0       0/0      52/5       0/0  
Gold Reaper 1|2144.80      4       52   inf  12.93       0 323.19    0    4 |     0/0       0/0       0/0      52/4  
Gold Reaper 1|1813.83      4       51   inf  12.84       0 321.00    3    1 |    51/4       0/0       0/0       0/0  
goldtrade_D|1969.23        2       51   inf  25.38       0 1268.75    1    1 |     0/0       0/0      51/2       0/0  
Gold Reaper 7|2406.26      4       50   inf  12.59       0 314.62    0    4 |     0/0       0/0       0/0      50/4  
Gold Reaper 1|1760.64      5       50 50.01   9.92       1  34.92    0    4 |    50/5       0/0       0/0       0/0  
Gold Reaper 7|1993.40      5       47   inf   9.47       0 236.85    0    5 |     0/0       0/0      47/5       0/0  
