n132_eagleowl_or_b2_v131.htm — EagleOwl_v1 · XAUUSD.p · 7666 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      577  1.51   2.55     112   5.14  152   71 |   188/60    178/61    247/56    -36/49 
Gold Reaper 1|1785.04      9       85 18.91   9.45       5  16.02    0    7 |    85/9       0/0       0/0       0/0  
Gold Reaper 7|2222.93      5       80   inf  16.00       0 400.05    1    4 |     0/0       0/0       0/0      80/5  
Gold Reaper 8|1900.99      5       78 57.51  15.63       2  43.66    3    2 |     0/0       0/0      78/5       0/0  
Gold Reaper 1|2758.45      5       74 61.57  14.82       2  45.46    0    4 |     0/0       0/0       0/0      74/5  
Gold Reaper 7|1805.80      2       63   inf  31.60       0 790.12    0    2 |    63/2       0/0       0/0       0/0  
Gold Reaper 7|1937.37      2       63   inf  31.60       0 789.88    1    1 |     0/0       0/0      63/2       0/0  
Gold Reaper 1|2222.93      5       61 22.47  12.16       3  18.71    0    4 |     0/0       0/0       0/0      61/5  
GoldDaily2|2065.45         1       60   inf  59.95       0 1498.75    1    0 |     0/0       0/0       0/0      60/1  
Gold Reaper 4|1914.10      1       58   inf  57.95       0 1448.75    0    1 |     0/0      58/1       0/0       0/0  
Gold Reaper 7|2365.35      4       56   inf  14.10       0 352.50    3    1 |     0/0       0/0       0/0      56/4  
Gold Reaper 8|1993.40      9       56 19.49   6.19       4  14.77    0    7 |     0/0       0/0      56/9       0/0  
Gold Reaper 1|1924.62      9       56  3.80   6.18      20   2.71    6    3 |     0/0       0/0      56/9       0/0  
Gold Reaper 4|1844.69      1       55   inf  55.22       0 1380.50    0    1 |     0/0       0/0      55/1       0/0  
Gold Reaper 8|1820.20      7       54   inf   7.69       0 192.32    0    7 |    54/7       0/0       0/0       0/0  
GoldDaily1|1913.91         1       54   inf  53.68       0 1342.00    0    1 |     0/0       0/0      54/1       0/0  
Gold Reaper 7|2406.26      4       53   inf  13.36       0 334.00    0    4 |     0/0       0/0       0/0      53/4  
Gold Reaper 7|2324.27      4       53   inf  13.23       0 330.75    0    4 |     0/0       0/0       0/0      53/4  
Gold Reaper 7|1993.40      5       52   inf  10.50       0 262.45    0    5 |     0/0       0/0      52/5       0/0  
Gold Reaper 1|1813.83      4       52   inf  12.91       0 322.75    3    1 |    52/4       0/0       0/0       0/0  
Gold Reaper 1|1760.64      4       51   inf  12.76       0 319.06    0    4 |    51/4       0/0       0/0       0/0  
GoldDaily2|2685.58         1       47   inf  47.06       0 1176.50    1    0 |     0/0       0/0       0/0      47/1  
Gold Reaper 7|1825.04      5       47   inf   9.37       0 234.35    2    3 |     0/0      47/5       0/0       0/0  
Gold Reaper 8|2670.57      4       45   inf  11.34       0 283.44    0    4 |     0/0       0/0       0/0      45/4  
Gold Reaper 1|2032.06      3       44   inf  14.62       0 365.50    0    3 |     0/0       0/0      44/3       0/0  
Gold Reaper 7|1954.24      4       43   inf  10.86       0 271.50    0    4 |     0/0       0/0      43/4       0/0  
GoldDaily1|1810.41         1       43   inf  42.68       0 1067.00    1    0 |    43/1       0/0       0/0       0/0  
Gold Reaper 8|2039.92      6       41 30.52   6.86       2  21.77    0    5 |     0/0       0/0      41/6       0/0  
Gold Reaper 7|1934.42      5       41   inf   8.22       0 205.55    0    5 |     0/0       0/0      41/5       0/0  
Gold Reaper 8|2324.27      4       41   inf  10.21       0 255.19    0    4 |     0/0       0/0       0/0      41/4  
Gold Reaper 7|2632.45      4       40   inf  10.05       0 251.25    1    3 |     0/0       0/0       0/0      40/4  
GoldDaily1|2529.04         1       40   inf  40.02       0 1000.50    1    0 |     0/0       0/0       0/0      40/1  
Gold Reaper 7|2633.15      3       40   inf  13.17       0 329.33    0    3 |     0/0       0/0       0/0      40/3  
Gold Reaper 1|2144.80      3       39   inf  13.03       0 325.75    0    3 |     0/0       0/0       0/0      39/3  
Gold Reaper 8|2758.45      3       39   inf  13.00       0 325.08    0    3 |     0/0       0/0       0/0      39/3  
GoldDaily3|1782.36         1       39   inf  38.97       0 974.25    0    1 |    39/1       0/0       0/0       0/0  
Gold Reaper 1|1786.53      3       38   inf  12.82       0 320.42    0    3 |     0/0      38/3       0/0       0/0  
Gold Reaper 8|1963.74      5       38 22.81   7.69       2  17.63    0    4 |     0/0       0/0      38/5       0/0  
Gold Reaper 8|1818.47      6       38   inf   6.40       0 192.00    1    5 |    38/6       0/0       0/0       0/0  
Gold Reaper 8|1759.82      2       38   inf  19.19       0 479.63    1    1 |     0/0      38/2       0/0       0/0  
Gold Reaper 4|1784.55      1       38   inf  37.82       0 945.50    1    0 |     0/0      38/1       0/0       0/0  
Gold Reaper 8|2670.20      4       38   inf   9.39       0 187.75    1    3 |     0/0       0/0       0/0      38/4  
Gold Reaper 7|1792.42      4       37   inf   9.32       0 233.00    0    4 |    37/4       0/0       0/0       0/0  
DaytradePro_XAUUSD|222     3       37   inf  12.42       0 310.58    0    3 |     0/0       0/0       0/0      37/3  
Gold Reaper 8|2747.72      3       37   inf  12.39       0 309.83    2    1 |     0/0       0/0       0/0      37/3  
Gold Reaper 1|1987.48      5       37   inf   7.37       0 184.15    5    0 |     0/0       0/0      37/5       0/0  
GoldDaily3|2432.03         2       37   inf  18.26       0 912.75    1    1 |     0/0       0/0       0/0      37/2  
Gold Reaper 1|1845.53      4       36   inf   9.00       0 225.12    3    1 |    36/4       0/0       0/0       0/0  
GoldDaily1|2708.77         1       36   inf  35.66       0 891.50    0    1 |     0/0       0/0       0/0      36/1  
Gold Reaper 4|2643.35      2       36   inf  17.82       0 891.00    2    0 |     0/0       0/0       0/0      36/2  
Gold Reaper 7|1720.36      5       36 16.78   7.12       3  13.28    0    4 |     0/0      36/5       0/0       0/0  
Gold Reaper 8|1874.07      1       35   inf  35.25       0 881.25    0    1 |     0/0      35/1       0/0       0/0  
GoldDaily3|1974.18         1       35   inf  35.03       0 875.75    1    0 |     0/0       0/0      35/1       0/0  
Gold Reaper 3|1820.20      6       35   inf   5.80       0 290.08    5    1 |    13/3      22/3       0/0       0/0  
Gold Reaper 8|1825.04      8       35  7.27   4.34       6   5.53    0    5 |     0/0      35/8       0/0       0/0  
Gold Reaper 4|1799.16      1       35   inf  34.57       0 864.25    0    1 |    35/1       0/0       0/0       0/0  
Gold Reaper 1|1824.53      7       34  2.30   4.92      27   1.25    2    5 |     0/0     -27/2      62/5       0/0  
GoldDaily3|1786.53         2       34   inf  17.19       0 859.50    0    1 |     0/0      34/2       0/0       0/0  
Gold Reaper 7|2051.94      3       34   inf  11.33       0 283.25    0    3 |     0/0       0/0      34/3       0/0  
Gold Reaper 7|1910.72      5       34 244.21   6.73       0  98.97    2    3 |     0/0      34/5       0/0       0/0  
GoldDaily3|2657.18         1       33   inf  33.46       0 836.50    0    1 |     0/0       0/0       0/0      33/1  
Gold Reaper 8|1954.24      4       33   inf   8.33       0 208.13    0    4 |     0/0       0/0      33/4       0/0  
GoldDaily1|1999.46         1       33   inf  33.18       0 829.50    1    0 |     0/0       0/0      33/1       0/0  
Gold Reaper 8|1809.55      3       33   inf  10.85       0 271.33    1    2 |    33/3       0/0       0/0       0/0  
Gold Reaper 4|2613.45      2       32   inf  16.11       0 805.75    2    0 |     0/0       0/0       0/0      32/2  
Gold Reaper 7|2529.23      1       32   inf  31.91       0 797.75    0    1 |     0/0       0/0       0/0      32/1  
Gold Reaper 8|2018.10      6       32 16.14   5.29       3  12.17    0    4 |     0/0       0/0      32/6       0/0  
Gold Reaper 7|2070.66      3       32   inf  10.56       0 263.92    0    3 |     0/0       0/0      32/3       0/0  
goldtrade_H|1820.20        6       32 18.29   5.25       2  14.00    5    0 |    10/4      21/2       0/0       0/0  
Gold Reaper 7|1891.48      3       31   inf  10.49       0 262.33    0    3 |     0/0      31/3       0/0       0/0  
Gold Reaper 7|1840.66      5       31   inf   6.28       0 156.95    3    2 |     0/0      31/5       0/0       0/0  
Gold Reaper 1|2450.11      3       31  9.03  10.36       4   7.51    0    2 |     0/0       0/0       0/0      31/3  
GoldDaily1|2670.20         1       31   inf  30.82       0 770.50    0    1 |     0/0       0/0       0/0      31/1  
Gold Reaper 8|2406.26      3       31   inf  10.25       0 256.17    0    3 |     0/0       0/0       0/0      31/3  
Gold Reaper 8|1723.25      9       31  6.66   3.39       6   4.90    0    5 |     0/0      31/9       0/0       0/0  
GoldbotOne_8|2613.45       1       30   inf  30.05       0 751.25    0    1 |     0/0       0/0       0/0      30/1  
Gold Reaper 8|1855.72      4       30   inf   7.46       0 186.44    2    2 |    30/4       0/0       0/0       0/0  
Gold Reaper 4|1719.23      1       30   inf  29.70       0 742.50    1    0 |    30/1       0/0       0/0       0/0  
Gold Reaper 7|2670.57      2       29   inf  14.73       0 368.25    0    2 |     0/0       0/0       0/0      29/2  
Gold Reaper 7|1914.10      3       29   inf   9.74       0 243.58    0    3 |     0/0      29/3       0/0       0/0  
GoldDaily3|2758.45         1       29   inf  29.19       0 729.75    0    1 |     0/0       0/0       0/0      29/1  
GoldDaily3|2332.07         1       29   inf  29.16       0 729.00    0    1 |     0/0       0/0       0/0      29/1  
Gold Reaper 8|2319.86      3       29   inf   9.72       0 242.92    0    3 |     0/0       0/0       0/0      29/3  
Gold Reaper 8|2633.15      3       29   inf   9.69       0 242.25    0    3 |     0/0       0/0       0/0      29/3  
Gold Reaper 7|2354.77      5       29 11.67   5.77       3   9.18    0    3 |     0/0       0/0       0/0      29/5  
Gold Reaper 7|2018.10      2       29   inf  14.40       0 360.12    0    2 |     0/0       0/0      29/2       0/0  
Gold Reaper 8|2332.07      1       29   inf  28.69       0 717.25    1    0 |     0/0       0/0       0/0      29/1  
GoldbotOne_8|2666.27       1       28   inf  28.41       0 710.25    0    1 |     0/0       0/0       0/0      28/1  
Gold Reaper 1|1974.44      2       28   inf  14.18       0 354.50    0    2 |     0/0      28/2       0/0       0/0  
Gold Reaper 8|2451.50      4       28 10.94   7.08       3   8.84    0    3 |     0/0       0/0       0/0      28/4  
Gold Reaper 8|1918.60      5       28  7.98   5.65       5   6.27    0    4 |     0/0       0/0      28/5       0/0  
GoldDaily1|2007.54         1       28   inf  28.25       0 706.25    1    0 |     0/0       0/0      28/1       0/0  
Gold Reaper 7|2364.98      5       28  3.46   5.57      12   2.34    0    0 |     0/0       0/0       0/0      28/5  
GoldDaily3|2529.04         1       28   inf  27.58       0 689.50    0    1 |     0/0       0/0       0/0      28/1  
Gold Reaper 1|1906.68      2       27   inf  13.71       0 342.63    0    2 |    27/2       0/0       0/0       0/0  
GoldDaily3|2222.93         1       27   inf  27.40       0 685.00    0    1 |     0/0       0/0       0/0      27/1  
GoldDaily3|2368.75         1       27   inf  27.35       0 683.75    0    1 |     0/0       0/0       0/0      27/1  
Gold Reaper 1|1850.39      2       27   inf  13.62       0 340.50    0    2 |     0/0      27/2       0/0       0/0  
Gold Reaper 8|1940.01      3       27   inf   8.94       0 223.58    0    3 |     0/0       0/0      27/3       0/0  
GoldDaily3|2009.92         1       27   inf  26.63       0 665.75    0    1 |     0/0       0/0      27/1       0/0  
Gold Reaper 8|1720.36      5       27 12.55   5.32       3   9.72    0    4 |     0/0      27/5       0/0       0/0  
Gold Reaper 1|1951.95      3       27 20.89   8.87       2  17.17    0    2 |     0/0       0/0      27/3       0/0  
GoldDaily1|2004.11         1       27   inf  26.52       0 663.00    1    0 |     0/0       0/0      27/1       0/0  
Gold Reaper 1|2392.92      4       26   inf   6.59       0 219.58    3    1 |     0/0       0/0       0/0      26/4  
GoldDaily3|1791.60         2       26   inf  13.13       0 656.75    1    1 |    26/2       0/0       0/0       0/0  
GoldbotOne_8|2324.27       1       26   inf  26.12       0 653.00    0    1 |     0/0       0/0       0/0      26/1  
GoldDaily1|2332.07         1       26   inf  26.08       0 652.00    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 8|2051.94      3       26   inf   8.68       0 217.00    0    3 |     0/0       0/0      26/3       0/0  
Gold Reaper 7|2036.63      3       26   inf   8.65       0 216.33    0    3 |     0/0       0/0       0/0      26/3  
Gold Reaper 8|1674.98      6       26 14.21   4.32       2  11.58    2    4 |     0/0      26/6       0/0       0/0  
GoldDaily2|2222.93         1       26   inf  25.90       0 647.50    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 3|2001.86      2       26 21.52  12.84       1  18.09    0    1 |     0/0       0/0       0/0      26/2  
Gold Reaper 7|2529.07      1       26   inf  25.55       0 638.75    0    1 |     0/0       0/0       0/0      26/1  
Gold Reaper 7|2624.75      2       25   inf  12.72       0 318.12    2    0 |     0/0       0/0       0/0      25/2  
GoldDaily3|2314.73         1       25   inf  25.43       0 635.75    0    1 |     0/0       0/0       0/0      25/1  
