n132_eagleowl_or_b2_v135.htm — EagleOwl_v1 · XAUUSD.p · 6272 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      609  1.52   2.69     129   4.73  151   74 |   195/60    180/61    232/56      1/49 
Gold Reaper 1|2758.45      5       92   inf  18.33       0 458.20    0    5 |     0/0       0/0       0/0      92/5  
Gold Reaper 1|2222.93      5       80   inf  15.98       0 399.60    0    5 |     0/0       0/0       0/0      80/5  
Gold Reaper 1|1785.04      5       64   inf  12.90       0 322.45    0    5 |    64/5       0/0       0/0       0/0  
Gold Reaper 7|1805.80      2       63   inf  31.60       0 790.12    0    2 |    63/2       0/0       0/0       0/0  
Gold Reaper 7|1937.37      2       63   inf  31.60       0 789.88    1    1 |     0/0       0/0      63/2       0/0  
GoldDaily2|2065.45         1       60   inf  59.95       0 1498.75    1    0 |     0/0       0/0       0/0      60/1  
Gold Reaper 4|1914.10      1       58   inf  57.95       0 1448.75    0    1 |     0/0      58/1       0/0       0/0  
Gold Reaper 7|2365.35      4       56   inf  14.10       0 352.50    3    1 |     0/0       0/0       0/0      56/4  
Gold Reaper 1|1924.62      5       54   inf  10.87       0 271.75    2    3 |     0/0       0/0      54/5       0/0  
GoldDaily1|1913.91         1       54   inf  53.68       0 1342.00    0    1 |     0/0       0/0      54/1       0/0  
Gold Reaper 7|2324.27      4       53   inf  13.23       0 330.75    0    4 |     0/0       0/0       0/0      53/4  
Gold Reaper 1|1760.64      4       51   inf  12.76       0 319.06    0    4 |    51/4       0/0       0/0       0/0  
Gold Reaper 3|2685.58      6       51  4.20   8.46      16   3.08    2    4 |     0/0       0/0       0/0      51/6  
Gold Reaper 1|1845.53      4       46   inf  11.61       0 290.25    2    2 |    46/4       0/0       0/0       0/0  
Gold Reaper 8|2670.57      4       45   inf  11.34       0 283.44    0    4 |     0/0       0/0       0/0      45/4  
Gold Reaper 4|1900.99      1       44   inf  44.39       0 1109.75    1    0 |     0/0       0/0      44/1       0/0  
Gold Reaper 1|2032.06      3       44   inf  14.62       0 365.50    0    3 |     0/0       0/0      44/3       0/0  
Gold Reaper 7|1954.24      4       43   inf  10.86       0 271.50    0    4 |     0/0       0/0      43/4       0/0  
Gold Reaper 1|1813.83      4       43   inf  10.80       0 269.94    3    1 |    43/4       0/0       0/0       0/0  
GoldDaily1|1810.41         1       43   inf  42.68       0 1067.00    1    0 |    43/1       0/0       0/0       0/0  
Gold Reaper 7|1934.42      5       41   inf   8.22       0 205.55    0    5 |     0/0       0/0      41/5       0/0  
Gold Reaper 8|2324.27      4       41   inf  10.21       0 255.19    0    4 |     0/0       0/0       0/0      41/4  
Gold Reaper 7|2633.15      3       40   inf  13.17       0 329.33    0    3 |     0/0       0/0       0/0      40/3  
Gold Reaper 1|2144.80      3       39   inf  13.03       0 325.75    0    3 |     0/0       0/0       0/0      39/3  
Gold Reaper 8|2758.45      3       39   inf  13.00       0 325.08    0    3 |     0/0       0/0       0/0      39/3  
GoldDaily3|1780.04         1       39   inf  38.97       0 974.25    0    1 |    39/1       0/0       0/0       0/0  
Gold Reaper 1|1786.53      3       38   inf  12.82       0 320.42    0    3 |     0/0      38/3       0/0       0/0  
DaytradePro_XAUUSD|222     3       38   inf  12.61       0 315.25    0    3 |     0/0       0/0       0/0      38/3  
Gold Reaper 4|1784.55      1       38   inf  37.82       0 945.50    1    0 |     0/0      38/1       0/0       0/0  
Gold Reaper 8|2670.20      4       37   inf   9.19       0 183.70    1    3 |     0/0       0/0       0/0      37/4  
GoldDaily1|2708.77         1       36   inf  35.66       0 891.50    0    1 |     0/0       0/0       0/0      36/1  
Gold Reaper 7|1720.36      5       36 16.78   7.12       3  13.28    0    4 |     0/0      36/5       0/0       0/0  
Gold Reaper 8|1900.99      2       35   inf  17.71       0 442.88    0    2 |     0/0       0/0      35/2       0/0  
Gold Reaper 4|1799.16      1       35   inf  34.57       0 864.25    0    1 |    35/1       0/0       0/0       0/0  
Gold Reaper 8|1954.24      4       33   inf   8.33       0 208.13    0    4 |     0/0       0/0      33/4       0/0  
Gold Reaper 7|1829.58      2       33   inf  16.59       0 414.75    0    2 |    33/2       0/0       0/0       0/0  
GoldDaily1|1999.46         1       33   inf  33.18       0 829.50    1    0 |     0/0       0/0      33/1       0/0  
Gold Reaper 7|2657.18      1       33   inf  32.94       0 823.50    0    1 |     0/0       0/0       0/0      33/1  
Gold Reaper 8|1809.55      3       33   inf  10.85       0 271.33    1    2 |    33/3       0/0       0/0       0/0  
Gold Reaper 4|2643.35      1       32   inf  32.38       0 809.50    1    0 |     0/0       0/0       0/0      32/1  
Gold Reaper 8|1818.47      5       32   inf   6.46       0 161.60    1    4 |    32/5       0/0       0/0       0/0  
Gold Reaper 8|2747.72      3       32   inf  10.61       0 265.25    2    1 |     0/0       0/0       0/0      32/3  
Gold Reaper 8|2018.10      6       32 16.14   5.29       3  12.17    0    4 |     0/0       0/0      32/6       0/0  
Gold Reaper 7|2070.66      3       32   inf  10.56       0 263.92    0    3 |     0/0       0/0      32/3       0/0  
Gold Reaper 1|2450.11      3       31  9.03  10.36       4   7.51    0    2 |     0/0       0/0       0/0      31/3  
Gold Reaper 8|1820.20      4       31   inf   7.69       0 192.12    0    4 |    31/4       0/0       0/0       0/0  
GoldDaily3|2392.92         1       31   inf  30.65       0 766.25    0    1 |     0/0       0/0       0/0      31/1  
GoldbotOne_8|2613.45       1       30   inf  30.05       0 751.25    0    1 |     0/0       0/0       0/0      30/1  
Gold Reaper 4|1719.23      1       30   inf  29.70       0 742.50    1    0 |    30/1       0/0       0/0       0/0  
Gold Reaper 7|2670.57      2       29   inf  14.73       0 368.25    0    2 |     0/0       0/0       0/0      29/2  
Gold Reaper 7|1914.10      3       29   inf   9.74       0 243.58    0    3 |     0/0      29/3       0/0       0/0  
GoldDaily3|2332.07         1       29   inf  29.16       0 729.00    0    1 |     0/0       0/0       0/0      29/1  
Gold Reaper 8|2633.15      3       29   inf   9.69       0 242.25    0    3 |     0/0       0/0       0/0      29/3  
Gold Reaper 4|2613.45      1       29   inf  28.80       0 720.00    1    0 |     0/0       0/0       0/0      29/1  
Gold Reaper 7|2018.10      2       29   inf  14.32       0 358.00    0    2 |     0/0       0/0      29/2       0/0  
Gold Reaper 8|2352.57      2       29   inf  14.30       0 238.42    2    0 |     0/0       0/0       0/0      29/2  
Gold Reaper 1|1974.44      2       28   inf  14.18       0 354.50    0    2 |     0/0      28/2       0/0       0/0  
Gold Reaper 8|2451.50      4       28 10.94   7.08       3   8.84    0    3 |     0/0       0/0       0/0      28/4  
GoldDaily1|2007.54         1       28   inf  28.25       0 706.25    1    0 |     0/0       0/0      28/1       0/0  
Gold Reaper 7|2624.75      2       28   inf  14.07       0 351.75    2    0 |     0/0       0/0       0/0      28/2  
GoldDaily3|2529.23         1       28   inf  27.63       0 690.75    0    1 |     0/0       0/0       0/0      28/1  
GoldDaily3|2222.93         1       27   inf  27.40       0 685.00    0    1 |     0/0       0/0       0/0      27/1  
Gold Reaper 1|1850.39      2       27   inf  13.62       0 340.50    0    2 |     0/0      27/2       0/0       0/0  
Gold Reaper 7|2406.26      2       27   inf  13.37       0 334.12    0    2 |     0/0       0/0       0/0      27/2  
GoldDaily3|2009.92         1       27   inf  26.63       0 665.75    0    1 |     0/0       0/0      27/1       0/0  
Gold Reaper 8|1720.36      5       27 12.55   5.32       3   9.72    0    4 |     0/0      27/5       0/0       0/0  
GoldDaily1|2004.11         1       27   inf  26.52       0 663.00    1    0 |     0/0       0/0      27/1       0/0  
GoldbotOne_8|2324.27       1       26   inf  26.12       0 653.00    0    1 |     0/0       0/0       0/0      26/1  
GoldDaily1|2332.07         1       26   inf  26.08       0 652.00    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 8|2222.93      1       26   inf  26.02       0 650.50    1    0 |     0/0       0/0       0/0      26/1  
GoldDaily2|2222.93         1       26   inf  25.90       0 647.50    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 3|2001.86      2       26 21.18  12.83       1  17.83    0    1 |     0/0       0/0       0/0      26/2  
GoldDaily1|2529.23         1       26   inf  25.55       0 638.75    0    1 |     0/0       0/0       0/0      26/1  
Gold Reaper 1|1758.67      2       25   inf  12.61       0 315.25    0    2 |    25/2       0/0       0/0       0/0  
Gold Reaper 8|1969.85      3       25   inf   8.40       0 209.92    0    3 |     0/0       0/0      25/3       0/0  
Gold Reaper 7|1874.07      2       25  3.52  12.55      10   2.48    1    1 |     0/0      25/2       0/0       0/0  
