n132_eagleowl_or_b2_v144.htm — EagleOwl_v1 · XAUUSD.p · 6522 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     300      946  1.63   3.15     136   6.95  196  101 |   190/74    288/78    322/82    146/66 
Gold Reaper 7|1913.91      4       69   inf  17.27       0 287.92    4    0 |     0/0       0/0      69/4       0/0  
Gold Reaper 7|1805.80      2       63   inf  31.60       0 790.12    0    2 |    63/2       0/0       0/0       0/0  
Gold Reaper 7|1937.37      2       63   inf  31.60       0 789.88    1    1 |     0/0       0/0      63/2       0/0  
GoldDaily2|2065.45         1       60   inf  59.95       0 1498.75    1    0 |     0/0       0/0       0/0      60/1  
Gold Reaper 1|1813.83      4       56   inf  14.12       0 353.12    3    1 |    56/4       0/0       0/0       0/0  
GoldDaily1|1913.91         1       54   inf  53.68       0 1342.00    0    1 |     0/0       0/0      54/1       0/0  
Gold Reaper 7|2324.27      4       53   inf  13.23       0 330.75    0    4 |     0/0       0/0       0/0      53/4  
Gold Reaper 7|1784.55      2       48   inf  23.84       0 595.88    1    1 |     0/0      48/2       0/0       0/0  
GoldDaily1|2670.20         1       47   inf  47.06       0 1176.50    1    0 |     0/0       0/0       0/0      47/1  
Gold Reaper 1|1924.62      4       46   inf  11.58       0 289.38    1    3 |     0/0       0/0      46/4       0/0  
Gold Reaper 1|2758.45      9       46  9.92   5.11       6   7.72    0    3 |     0/0       0/0       0/0      46/9  
Gold Reaper 7|1954.24      4       41   inf  10.26       0 256.38    0    4 |     0/0       0/0      41/4       0/0  
Gold Reaper 8|2324.27      4       41   inf  10.21       0 255.19    0    4 |     0/0       0/0       0/0      41/4  
GoldbotOne_8|2195.21       1       40   inf  40.16       0 1004.00    0    1 |     0/0       0/0       0/0      40/1  
Gold Reaper 7|2633.15      3       40   inf  13.17       0 329.33    0    3 |     0/0       0/0       0/0      40/3  
Gold Reaper 8|2758.45      3       39   inf  13.00       0 325.08    0    3 |     0/0       0/0       0/0      39/3  
GoldDaily3|1782.36         1       39   inf  38.97       0 974.25    0    1 |    39/1       0/0       0/0       0/0  
Gold Reaper 8|2747.72      3       39 66.33  12.99       1  46.38    0    2 |     0/0       0/0       0/0      39/3  
Gold Reaper 1|1786.53      3       38   inf  12.82       0 320.42    0    3 |     0/0      38/3       0/0       0/0  
Gold Reaper 8|1759.82      2       38   inf  19.04       0 476.00    1    1 |     0/0      38/2       0/0       0/0  
Gold Reaper 1|1834.00      3       38   inf  12.63       0 315.83    0    3 |    38/3       0/0       0/0       0/0  
GoldDaily3|1752.19         1       37   inf  36.69       0 917.25    1    0 |     0/0      37/1       0/0       0/0  
Gold Reaper 7|2365.35      4       36 31.93   9.12       2  24.17    2    0 |     0/0       0/0       0/0      36/4  
Gold Reaper 7|1849.55      1       36   inf  35.94       0 898.50    0    1 |    36/1       0/0       0/0       0/0  
GoldDaily1|2708.77         1       36   inf  35.66       0 891.50    0    1 |     0/0       0/0       0/0      36/1  
DaytradePro_XAUUSD|208     3       35   inf  11.79       0 294.83    0    3 |     0/0       0/0       0/0      35/3  
Gold Reaper 7|1874.07      1       35   inf  35.25       0 881.25    0    1 |     0/0      35/1       0/0       0/0  
Gold Reaper 4|1799.16      1       35   inf  34.57       0 864.25    0    1 |    35/1       0/0       0/0       0/0  
GoldDaily1|2666.27         1       33   inf  33.46       0 836.50    0    1 |     0/0       0/0       0/0      33/1  
Gold Reaper 7|1829.58      2       33   inf  16.59       0 414.75    0    2 |    33/2       0/0       0/0       0/0  
GoldDaily1|1999.46         1       33   inf  33.18       0 829.50    1    0 |     0/0       0/0      33/1       0/0  
Gold Reaper 1|2450.11      3       33 16.86  10.97       2  14.12    0    2 |     0/0       0/0       0/0      33/3  
Gold Reaper 8|2670.57      4       33 30.19   8.17       1  22.53    0    3 |     0/0       0/0       0/0      33/4  
Gold Reaper 4|2643.35      1       32   inf  32.38       0 809.50    1    0 |     0/0       0/0       0/0      32/1  
Gold Reaper 8|2018.10      6       32 16.14   5.29       3  12.17    0    4 |     0/0       0/0      32/6       0/0  
GoldDaily3|2392.92         1       31   inf  30.65       0 766.25    0    1 |     0/0       0/0       0/0      31/1  
GoldDaily3|2450.11         1       31   inf  30.55       0 763.75    0    1 |     0/0       0/0       0/0      31/1  
Gold Reaper 1|1676.83      2       30   inf  15.07       0 376.75    2    0 |    30/2       0/0       0/0       0/0  
GoldbotOne_8|2613.45       1       30   inf  30.05       0 751.25    0    1 |     0/0       0/0       0/0      30/1  
goldtrade_D|2088.43        3       30   inf  10.00       0 250.00    0    3 |     0/0       0/0       0/0      30/3  
Gold Reaper 4|1719.23      1       30   inf  29.70       0 742.50    1    0 |    30/1       0/0       0/0       0/0  
Gold Reaper 7|1975.20      2       29   inf  14.73       0 368.38    1    1 |     0/0       0/0      29/2       0/0  
