jeu,mois,net
M5_C,2021-01,-10.89
M5_C,2021-02,-9.95
M5_C,2021-03,4.40
M5_C,2021-04,-0.11
M5_C,2021-05,-7.74
M5_C,2021-06,22.95
M5_C,2021-07,26.94
M5_C,2021-08,94.48
M5_C,2021-09,-18.04
M5_C,2021-10,-20.81
M5_C,2021-11,78.39
M5_C,2021-12,-2.64
M5_C,2022-01,30.58
M5_C,2022-02,105.26
M5_C,2022-03,14.69
M5_C,2022-04,34.98
M5_C,2022-05,26.00
M5_C,2022-06,24.85
M5_C,2022-07,51.43
M5_C,2022-08,-61.72
M5_C,2022-09,-27.75
M5_C,2022-10,38.18
M5_C,2022-11,38.04
M5_C,2022-12,36.15
M5_C,2023-01,43.75
M5_C,2023-02,39.67
M5_C,2023-03,-15.89
M5_C,2023-04,-4.76
M5_C,2023-05,-77.16
M5_C,2023-06,3.98
M5_C,2023-07,-25.26
M5_C,2023-08,-25.77
M5_C,2023-09,70.38
M5_C,2023-10,64.19
M5_C,2023-11,18.29
M5_C,2023-12,229.26
M5_C,2024-01,-25.59
M5_C,2024-02,9.26
M5_C,2024-03,-18.39
M5_C,2024-04,-39.30
M5_C,2024-05,37.79
M5_C,2024-06,76.47
M5_C,2024-07,11.79
M5_C,2024-08,-0.26
M5_C,2024-09,32.51
M5_C,2024-10,-15.01
M5_C,2024-11,-33.81
M5_C,2024-12,82.06
M5_H,2021-01,17.73
M5_H,2021-05,-35.41
M5_H,2021-06,31.35
M5_H,2021-08,1.98
M5_H,2021-09,-66.54
M5_H,2021-10,-28.64
M5_H,2021-11,90.65
M5_H,2022-01,-31.66
M5_H,2022-02,15.40
M5_H,2022-05,-20.95
M5_H,2022-06,-2.21
M5_H,2022-07,-30.92
M5_H,2022-08,-38.48
M5_H,2022-09,-43.55
M5_H,2022-10,34.82
M5_H,2022-11,5.68
M5_H,2022-12,-16.75
M5_H,2023-02,16.53
M5_H,2023-03,15.06
M5_H,2023-04,-62.53
M5_H,2023-05,-27.31
M5_H,2023-06,-33.80
M5_H,2023-07,-33.61
M5_H,2023-08,-0.12
M5_H,2023-09,-2.22
M5_H,2023-10,-26.19
M5_H,2023-11,-26.93
M5_H,2023-12,149.44
M5_H,2024-01,-73.75
M5_H,2024-02,-6.12
M5_H,2024-03,79.70
M5_H,2024-04,-25.14
M5_H,2024-05,-51.35
M5_H,2024-06,-0.39
M5_H,2024-07,-14.35
M5_H,2024-08,-44.32
M5_H,2024-09,-29.05
M5_H,2024-10,1.31
M5_H,2024-12,10.23
Gold Reaper 8|1900.78,2021-01,8.15
Gold Reaper 7|1900.78,2021-01,10.53
Gold Reaper 8|1868.92,2021-01,8.01
Gold Reaper 7|1868.92,2021-01,10.83
Gold Reaper 8|1856.95,2021-01,7.91
Gold Reaper 4|1854.85,2021-01,-9.65
GoldDaily1|1854.85,2021-01,24.75
GoldbotOne_8|1854.85,2021-01,-4.35
GoldDaily3|1854.85,2021-01,20.93
DaytradePro_XAUUSD|1818.44,2021-01,-8.40
goldtrade_H|1818.44,2021-01,-1.75
Gold Reaper 3|1818.44,2021-01,-5.89
goldtrade_D|1818.44,2021-01,-10.94
GoldDaily1|1818.44,2021-01,-16.58
GoldbotOne_8|1818.44,2021-01,-11.75
GoldDaily3|1818.44,2021-01,-18.23
Gold Reaper 8|1828.39,2021-01,0.13
Gold Reaper 7|1828.39,2021-01,-0.08
DaytradePro_XAUUSD|1816.76,2021-01,10.70
goldtrade_H|1816.76,2021-01,1.52
Gold Reaper 1|1816.76,2021-01,13.15
Gold Reaper 4|1816.76,2021-01,1.38
Gold Reaper 3|1816.76,2021-01,7.29
goldtrade_D|1816.76,2021-01,14.16
Gold Reaper 8|1816.76,2021-01,7.83
Gold Reaper 7|1816.76,2021-01,10.13
goldtrade_E|1816.76,2021-01,4.60
GoldDaily1|1816.76,2021-01,2.21
GoldDaily2|1816.76,2021-01,2.05
GoldbotOne_8|1816.76,2021-01,-0.12
GoldDaily3|1816.76,2021-01,2.58
Gold Reaper 8|1863.80,2021-01,3.24
Gold Reaper 7|1863.80,2021-01,-0.08
Gold Reaper 8|1837.31,2021-01,-20.52
Gold Reaper 7|1837.31,2021-01,-23.68
Gold Reaper 8|1832.28,2021-01,0.07
Gold Reaper 7|1832.28,2021-01,-0.15
Gold Reaper 8|1867.93,2021-01,-2.38
Gold Reaper 7|1867.93,2021-01,-0.08
goldtrade_D|1875.11,2021-01,-1.50
goldtrade_H|1875.11,2021-01,-8.78
Gold Reaper 3|1875.11,2021-01,-15.23
Gold Reaper 8|1875.11,2021-01,-19.68
DaytradePro_XAUUSD|1875.11,2021-01,-8.45
Gold Reaper 4|1875.11,2021-01,-9.42
Gold Reaper 7|1875.11,2021-01,-12.81
GoldDaily3|1875.11,2021-01,-16.05
GoldDaily1|1875.11,2021-01,-21.44
GoldbotOne_8|1875.11,2021-01,-12.58
DaytradePro_XAUUSD|1831.27,2021-02,-2.06
Gold Reaper 4|1831.27,2021-02,-2.06
Gold Reaper 8|1831.27,2021-02,-1.99
goldtrade_D|1831.27,2021-02,-1.92
Gold Reaper 7|1831.27,2021-02,-7.21
GoldDaily1|1831.27,2021-02,-1.24
GoldbotOne_8|1831.27,2021-02,-3.97
GoldDaily3|1831.27,2021-02,-9.01
Gold Reaper 8|1829.58,2021-02,0.71
Gold Reaper 7|1829.58,2021-02,33.18
DaytradePro_XAUUSD|1802.16,2021-02,10.79
goldtrade_H|1802.16,2021-02,7.53
Gold Reaper 1|1802.16,2021-02,13.19
Gold Reaper 3|1802.16,2021-02,12.83
goldtrade_D|1802.16,2021-02,14.12
goldtrade_E|1802.16,2021-02,17.67
GoldDaily1|1802.16,2021-02,-9.83
GoldDaily2|1802.16,2021-02,7.15
GoldbotOne_8|1802.16,2021-02,7.15
Gold Reaper 8|1848.57,2021-02,-0.08
Gold Reaper 7|1848.57,2021-02,-10.47
Gold Reaper 4|1810.59,2021-02,3.13
Gold Reaper 8|1810.59,2021-02,2.16
Gold Reaper 7|1810.59,2021-02,-0.09
DaytradePro_XAUUSD|1785.04,2021-02,-22.90
goldtrade_H|1785.04,2021-02,7.50
Gold Reaper 1|1785.04,2021-02,10.37
Gold Reaper 4|1785.04,2021-02,-1.59
Gold Reaper 3|1785.04,2021-02,-0.09
goldtrade_D|1785.04,2021-02,10.05
Gold Reaper 8|1785.04,2021-02,-4.99
Gold Reaper 7|1785.04,2021-02,0.27
goldtrade_E|1785.04,2021-02,-5.63
GoldDaily1|1785.04,2021-02,2.25
GoldDaily2|1785.04,2021-02,2.13
GoldbotOne_8|1785.04,2021-02,1.53
GoldDaily3|1785.04,2021-02,13.14
Gold Reaper 8|1769.54,2021-02,-0.08
DaytradePro_XAUUSD|1764.22,2021-02,-0.89
Gold Reaper 1|1764.22,2021-02,-15.18
goldtrade_E|1764.22,2021-02,0.41
GoldDaily2|1764.22,2021-02,-9.10
GoldbotOne_8|1764.22,2021-02,-12.18
GoldDaily3|1764.22,2021-02,-20.65
DaytradePro_XAUUSD|1760.64,2021-02,-1.99
goldtrade_H|1760.64,2021-02,0.12
Gold Reaper 1|1760.64,2021-02,12.94
Gold Reaper 4|1760.64,2021-02,1.41
Gold Reaper 3|1760.64,2021-02,-1.60
Gold Reaper 8|1760.64,2021-02,-7.43
goldtrade_D|1760.64,2021-02,-7.33
Gold Reaper 7|1760.64,2021-02,23.31
goldtrade_E|1760.64,2021-02,-0.10
GoldDaily1|1760.64,2021-02,-0.04
GoldDaily1|1760.64,2021-03,21.92
GoldDaily2|1760.64,2021-02,-0.54
GoldbotOne_8|1760.64,2021-02,-1.94
GoldDaily3|1760.64,2021-02,19.40
Gold Reaper 8|1717.19,2021-03,0.11
Gold Reaper 7|1717.19,2021-03,-0.10
Gold Reaper 8|1707.17,2021-03,-0.21
Gold Reaper 7|1707.17,2021-03,-11.86
GoldbotOne_8|1704.16,2021-03,0.11
GoldDaily3|1704.16,2021-03,-19.98
Gold Reaper 8|1701.93,2021-03,0.10
Gold Reaper 7|1701.93,2021-03,-0.10
Gold Reaper 8|1687.32,2021-03,0.11
Gold Reaper 7|1687.32,2021-03,-0.11
Gold Reaper 8|1714.29,2021-03,0.11
Gold Reaper 7|1714.29,2021-03,-0.08
Gold Reaper 8|1720.65,2021-03,15.45
Gold Reaper 8|1740.55,2021-03,-15.94
goldtrade_D|1739.84,2021-03,-6.43
Gold Reaper 8|1739.84,2021-03,-10.05
DaytradePro_XAUUSD|1739.84,2021-03,-0.10
Gold Reaper 4|1739.84,2021-03,-7.86
Gold Reaper 7|1739.84,2021-03,-12.09
GoldDaily3|1739.84,2021-03,-14.55
GoldDaily1|1739.84,2021-03,-1.04
GoldbotOne_8|1739.84,2021-03,-8.72
Gold Reaper 8|1741.21,2021-03,-1.01
Gold Reaper 7|1741.21,2021-03,-12.23
Gold Reaper 8|1724.02,2021-03,-0.08
Gold Reaper 8|1727.36,2021-03,-1.85
Gold Reaper 7|1727.36,2021-03,-1.50
Gold Reaper 8|1742.55,2021-03,-1.95
Gold Reaper 7|1742.55,2021-03,-1.51
Gold Reaper 8|1723.96,2021-03,-3.58
Gold Reaper 4|1723.96,2021-03,-3.72
Gold Reaper 7|1723.96,2021-03,-3.58
Gold Reaper 8|1721.54,2021-03,-2.43
Gold Reaper 7|1721.54,2021-03,15.44
