jeu,mois,net
XAGUSD H2 AGA04|26.760,2021-01,1.59
XAGUSD H2 AGA09|26.760,2021-01,1.34
XAGUSD H2 AGA06|26.760,2021-01,1.34
XAGUSD H2 AGA04|27.402,2021-01,2.36
XAGUSD H2 AGA09|27.402,2021-01,2.46
XAGUSD H2 AGA06|27.402,2021-01,1.59
XAGUSD H2 AGA09|27.560,2021-01,2.46
XAGUSD H2 AGA04|27.560,2021-01,2.51
XAGUSD H2 AGA06|27.560,2021-01,3.28
XAGUSD H2 AGA09|26.590,2021-01,-33.03
XAGUSD H2 AGA04|26.590,2021-01,7.27
XAGUSD H2 AGA06|26.590,2021-01,29.62
XAGUSD H2 AGA09|25.937,2021-01,8.14
XAGUSD H2 AGA09|25.049,2021-01,5.67
XAGUSD H2 AGA04|24.940,2021-01,13.44
XAGUSD H2 AGA06|24.940,2021-01,17.14
XAGUSD H2 AGA09|24.940,2021-01,5.67
XAGUSD H2 AGA09|25.677,2021-01,0.87
XAGUSD H2 AGA04|25.677,2021-01,0.87
XAGUSD H2 AGA06|25.677,2021-01,0.87
XAGUSD H2 AGA09|25.027,2021-01,5.27
XAGUSD H2 AGA04|25.027,2021-01,5.77
XAGUSD H2 AGA06|25.027,2021-01,5.27
XAGUSD H2 AGA09|24.317,2021-01,-8.56
XAGUSD H2 AGA04|24.317,2021-01,0.92
XAGUSD H2 AGA06|24.317,2021-01,0.87
XAGUSD H2 AGA09|25.885,2021-01,-13.00
XAGUSD H2 AGA04|25.885,2021-01,-13.00
XAGUSD H2 AGA06|25.885,2021-01,-10.40
XAGUSD H2 AGA09|25.023,2021-01,-5.45
XAGUSD H2 AGA04|25.023,2021-01,-10.10
XAGUSD H2 AGA06|25.023,2021-01,2.56
XAGUSD H2 AGA09|25.764,2021-01,0.97
XAGUSD H2 AGA09|26.052,2021-01,35.82
XAGUSD H2 AGA04|26.052,2021-01,39.42
XAGUSD H2 AGA06|26.052,2021-01,32.87
XAGUSD H2 AGA09|26.281,2021-02,-32.37
XAGUSD H2 AGA04|26.281,2021-02,-38.92
XAGUSD H2 AGA06|26.281,2021-02,-27.42
XAGUSD H2 AGA04|27.809,2021-02,-0.24
XAGUSD H2 AGA09|27.809,2021-02,-0.34
XAGUSD H2 AGA06|27.809,2021-02,-0.14
XAGUSD H2 AGA09|26.834,2021-02,10.74
XAGUSD H2 AGA04|26.834,2021-02,2.04
XAGUSD H2 AGA06|26.834,2021-02,75.35
XAGUSD H2 AGA09|26.699,2021-02,5.48
XAGUSD H2 AGA06|26.699,2021-02,5.63
XAGUSD H2 AGA04|26.699,2021-02,1.12
XAGUSD H2 AGA04|27.951,2021-02,1.48
XAGUSD H2 AGA09|27.951,2021-02,2.28
XAGUSD H2 AGA06|27.951,2021-02,2.28
XAGUSD H2 AGA09|27.245,2021-02,-3.26
XAGUSD H2 AGA04|27.245,2021-02,-3.26
XAGUSD H2 AGA04|26.103,2021-02,-7.13
XAGUSD H2 AGA04|26.103,2021-03,1.07
XAGUSD H2 AGA09|26.103,2021-02,-7.43
XAGUSD H2 AGA09|26.103,2021-03,1.07
XAGUSD H2 AGA06|26.103,2021-02,-7.13
XAGUSD H2 AGA06|26.103,2021-03,1.02
XAGUSD H2 AGA04|25.898,2021-03,0.97
XAGUSD H2 AGA09|25.898,2021-03,0.97
XAGUSD H2 AGA09|25.835,2021-03,-20.24
XAGUSD H2 AGA04|25.835,2021-03,-20.14
XAGUSD H2 AGA06|25.835,2021-03,-20.12
XAGUSD H2 AGA09|25.922,2021-03,2.04
XAGUSD H2 AGA09|26.306,2021-03,2.51
XAGUSD H2 AGA06|26.306,2021-03,2.36
XAGUSD H2 AGA04|26.454,2021-03,1.64
XAGUSD H2 AGA09|26.454,2021-03,1.69
XAGUSD H2 AGA06|26.454,2021-03,1.74
XAGUSD H2 AGA04|25.753,2021-03,1.54
XAGUSD H2 AGA09|25.753,2021-03,1.64
XAGUSD H2 AGA06|25.753,2021-03,1.64
XAGUSD H2 AGA04|25.385,2021-03,-48.90
XAGUSD H2 AGA04|25.385,2021-11,-8.83
XAGUSD H2 AGA09|25.385,2021-03,-60.60
XAGUSD H2 AGA09|25.385,2021-11,-8.98
XAGUSD H2 AGA06|25.385,2021-03,-46.69
XAGUSD H2 AGA06|25.385,2021-11,-9.33
XAGUSD H2 AGA09|24.830,2021-03,23.88
XAGUSD H2 AGA09|24.830,2022-03,0.67
