jeu,mois,net
XAGUSD H2 AGA04|29.889,2025-01,-37.59
XAGUSD H2 AGA09|29.889,2025-01,-25.01
XAGUSD H2 AGA06|29.889,2025-01,-39.64
XAGUSD H2 AGA09|30.384,2025-01,1.25
XAGUSD H2 AGA04|30.384,2025-01,3.55
XAGUSD H2 AGA06|30.384,2025-01,3.15
XAGUSD H2 AGA04|29.805,2025-01,1.52
XAGUSD H2 AGA06|29.805,2025-01,0.62
XAGUSD H2 AGA09|29.805,2025-01,0.62
XAGUSD H2 AGA09|30.656,2025-01,1.44
XAGUSD H2 AGA04|30.656,2025-01,1.44
XAGUSD H2 AGA06|30.656,2025-01,0.62
XAGUSD H2 AGA04|30.967,2025-01,-40.40
XAGUSD H2 AGA09|30.967,2025-01,-41.50
XAGUSD H2 AGA06|30.967,2025-01,-42.07
XAGUSD H2 AGA04|30.952,2025-01,-1.84
XAGUSD H2 AGA06|30.952,2025-01,-1.79
XAGUSD H2 AGA09|30.952,2025-01,-2.04
XAGUSD H2 AGA09|30.088,2025-01,-16.42
XAGUSD H2 AGA06|30.088,2025-01,-10.67
XAGUSD H2 AGA04|30.088,2025-01,-2.46
XAGUSD H2 AGA09|29.987,2025-01,10.07
XAGUSD H2 AGA04|29.987,2025-01,5.82
XAGUSD H2 AGA06|29.987,2025-01,5.02
XAGUSD H2 AGA04|31.021,2025-01,1.29
XAGUSD H2 AGA09|31.021,2025-01,1.14
XAGUSD H2 AGA06|31.021,2025-01,1.29
XAGUSD H2 AGA09|31.727,2025-02,-2.16
XAGUSD H2 AGA04|31.727,2025-02,26.19
XAGUSD H2 AGA06|31.727,2025-02,47.89
XAGUSD H2 AGA04|32.550,2025-02,0.67
XAGUSD H2 AGA06|32.550,2025-02,0.67
XAGUSD H2 AGA09|32.550,2025-02,0.67
XAGUSD H2 AGA09|31.740,2025-02,-27.56
XAGUSD H2 AGA04|31.740,2025-02,1.16
XAGUSD H2 AGA06|31.740,2025-02,-9.48
XAGUSD H2 AGA09|31.652,2025-02,-7.28
XAGUSD H2 AGA09|32.647,2025-02,55.19
XAGUSD H2 AGA06|32.647,2025-02,51.09
XAGUSD H2 AGA04|32.647,2025-02,59.84
XAGUSD H2 AGA09|31.910,2025-02,1.54
XAGUSD H2 AGA04|31.910,2025-02,1.39
XAGUSD H2 AGA06|31.910,2025-02,1.44
XAGUSD H2 AGA04|31.252,2025-02,-13.59
XAGUSD H2 AGA09|31.252,2025-02,-13.74
XAGUSD H2 AGA06|31.252,2025-02,-13.99
XAGUSD H2 AGA09|32.760,2025-03,1.29
XAGUSD H2 AGA04|32.760,2025-03,1.24
XAGUSD H2 AGA06|32.760,2025-03,1.54
XAGUSD H2 AGA04|33.207,2025-03,-24.58
XAGUSD H2 AGA09|33.207,2025-03,-33.23
XAGUSD H2 AGA06|33.207,2025-03,-43.53
XAGUSD H2 AGA09|33.395,2025-03,15.87
XAGUSD H2 AGA04|33.395,2025-03,15.87
XAGUSD H2 AGA09|34.080,2025-03,0.47
XAGUSD H2 AGA04|34.080,2025-03,0.77
XAGUSD H2 AGA06|34.080,2025-03,0.62
XAGUSD H2 AGA09|33.434,2025-03,-10.98
XAGUSD H2 AGA04|33.434,2025-03,-21.88
XAGUSD H2 AGA06|33.434,2025-03,-1.97
XAGUSD H2 AGA09|34.225,2025-03,0.47
XAGUSD H2 AGA04|34.225,2025-03,0.62
XAGUSD H2 AGA06|34.225,2025-03,0.67
XAGUSD H2 AGA09|33.470,2025-04,-7.58
XAGUSD H2 AGA09|32.660,2025-04,9.24
XAGUSD H2 AGA04|32.660,2025-04,10.34
XAGUSD H2 AGA06|32.660,2025-04,4.77
XAGUSD H2 AGA09|31.815,2025-04,-8.78
XAGUSD H2 AGA04|31.815,2025-04,-8.48
XAGUSD H2 AGA04|33.111,2025-04,-20.98
XAGUSD H2 AGA09|33.111,2025-04,-9.58
XAGUSD H2 AGA06|33.111,2025-04,-9.58
XAGUSD H2 AGA09|32.080,2025-04,-18.08
XAGUSD H2 AGA04|32.080,2025-04,-18.08
XAGUSD H2 AGA06|32.080,2025-04,-18.08
XAGUSD H2 AGA09|32.655,2025-04,5.24
XAGUSD H2 AGA04|32.655,2025-04,6.59
XAGUSD H2 AGA06|32.655,2025-04,8.67
XAGUSD H2 AGA04|32.089,2025-05,1.02
XAGUSD H2 AGA09|32.089,2025-05,0.92
XAGUSD H2 AGA06|32.089,2025-05,1.02
XAGUSD H2 AGA09|32.711,2025-05,3.90
XAGUSD H2 AGA09|32.217,2025-05,2.22
XAGUSD H2 AGA04|32.217,2025-05,3.12
XAGUSD H2 AGA06|32.217,2025-05,2.22
XAGUSD H2 AGA04|33.253,2025-05,1.35
XAGUSD H2 AGA09|33.253,2025-05,-28.71
XAGUSD H2 AGA06|33.253,2025-05,-51.55
XAGUSD H2 AGA09|31.890,2025-05,-30.79
XAGUSD H2 AGA04|31.890,2025-05,-0.54
XAGUSD H2 AGA06|31.890,2025-05,-14.18
XAGUSD H2 AGA09|31.670,2025-05,-26.36
XAGUSD H2 AGA04|31.670,2025-05,-12.01
XAGUSD H2 AGA06|31.670,2025-05,-25.42
XAGUSD H2 AGA09|32.686,2025-05,105.24
XAGUSD H2 AGA04|33.226,2025-05,-6.55
XAGUSD H2 AGA06|33.226,2025-05,1.63
XAGUSD H2 AGA09|33.226,2025-05,-14.22
XAGUSD H2 AGA09|33.531,2025-05,-6.09
XAGUSD H2 AGA04|33.531,2025-05,-2.80
XAGUSD H2 AGA09|32.757,2025-05,0.82
XAGUSD H2 AGA06|32.757,2025-05,0.82
XAGUSD H2 AGA04|33.494,2025-06,0.72
XAGUSD H2 AGA09|33.494,2025-06,-5.88
XAGUSD H2 AGA06|33.494,2025-06,-5.63
XAGUSD H2 AGA06|33.559,2025-06,-32.14
XAGUSD H2 AGA09|33.559,2025-06,-30.94
XAGUSD H2 AGA04|33.559,2025-06,1.39
XAGUSD H2 AGA09|33.695,2025-06,30.77
XAGUSD H2 AGA04|33.695,2025-06,33.27
XAGUSD H2 AGA06|33.695,2025-06,28.27
XAGUSD H2 AGA09|34.787,2025-06,32.12
XAGUSD H2 AGA04|34.787,2025-06,34.82
XAGUSD H2 AGA06|34.787,2025-06,29.57
XAGUSD H2 AGA09|36.640,2025-06,4.62
XAGUSD H2 AGA04|36.640,2025-06,4.67
XAGUSD H2 AGA06|36.640,2025-06,29.12
XAGUSD H2 AGA04|36.884,2025-06,11.09
XAGUSD H2 AGA09|36.884,2025-06,21.54
XAGUSD H2 AGA06|36.884,2025-06,21.59
XAGUSD H2 AGA09|35.505,2025-06,1.64
XAGUSD H2 AGA06|35.505,2025-06,0.52
XAGUSD H2 AGA04|35.445,2025-06,0.77
XAGUSD H2 AGA09|35.445,2025-06,0.77
XAGUSD H2 AGA06|35.445,2025-06,0.62
XAGUSD H2 AGA09|36.360,2025-06,7.62
XAGUSD H2 AGA09|36.614,2025-07,-39.77
XAGUSD H2 AGA04|36.614,2025-07,31.27
XAGUSD H2 AGA06|36.614,2025-07,-31.56
XAGUSD H2 AGA04|36.828,2025-07,0.72
XAGUSD H2 AGA09|36.828,2025-07,0.82
XAGUSD H2 AGA06|36.828,2025-07,0.82
XAGUSD H2 AGA04|37.071,2025-07,0.57
XAGUSD H2 AGA06|37.071,2025-07,0.57
XAGUSD H2 AGA09|37.071,2025-07,0.57
XAGUSD H2 AGA04|37.222,2025-07,0.77
XAGUSD H2 AGA09|37.222,2025-07,0.72
XAGUSD H2 AGA06|37.222,2025-07,0.77
XAGUSD H2 AGA09|37.310,2025-07,0.62
XAGUSD H2 AGA09|39.128,2025-07,1.54
XAGUSD H2 AGA04|39.128,2025-07,1.44
XAGUSD H2 AGA06|39.128,2025-07,1.54
XAGUSD H2 AGA09|37.896,2025-07,0.72
XAGUSD H2 AGA04|37.896,2025-07,0.77
XAGUSD H2 AGA06|37.896,2025-07,0.77
XAGUSD H2 AGA04|37.491,2025-07,-13.49
XAGUSD H2 AGA09|37.491,2025-07,12.11
XAGUSD H2 AGA06|37.491,2025-07,-23.74
XAGUSD H2 AGA09|36.266,2025-07,1.54
XAGUSD H2 AGA04|36.266,2025-07,1.44
XAGUSD H2 AGA04|38.504,2025-08,0.52
XAGUSD H2 AGA09|38.504,2025-08,0.62
XAGUSD H2 AGA06|38.504,2025-08,0.62
XAGUSD H2 AGA09|37.679,2025-08,6.82
XAGUSD H2 AGA04|37.679,2025-08,-20.79
XAGUSD H2 AGA06|37.679,2025-08,7.32
XAGUSD H2 AGA04|37.492,2025-08,0.62
XAGUSD H2 AGA09|37.492,2025-08,31.13
XAGUSD H2 AGA06|37.492,2025-08,0.67
XAGUSD H2 AGA04|38.264,2025-08,63.04
XAGUSD H2 AGA09|38.264,2025-08,58.84
XAGUSD H2 AGA06|38.264,2025-08,54.34
XAGUSD H2 AGA04|38.733,2025-08,9.56
XAGUSD H2 AGA09|38.733,2025-08,7.06
XAGUSD H2 AGA06|38.733,2025-08,6.96
XAGUSD H2 AGA09|38.333,2025-08,2.01
XAGUSD H2 AGA04|39.061,2025-08,1.34
XAGUSD H2 AGA09|39.061,2025-08,1.44
XAGUSD H2 AGA06|39.061,2025-08,-30.52
XAGUSD H2 AGA04|41.459,2025-09,-33.60
XAGUSD H2 AGA09|41.459,2025-09,-33.55
XAGUSD H2 AGA06|41.459,2025-09,-35.65
XAGUSD H2 AGA09|41.662,2025-09,0.77
XAGUSD H2 AGA04|41.662,2025-09,0.77
XAGUSD H2 AGA06|41.662,2025-09,0.77
XAGUSD H2 AGA09|42.462,2025-09,0.98
XAGUSD H2 AGA04|42.462,2025-09,1.73
XAGUSD H2 AGA06|42.462,2025-09,0.98
XAGUSD H2 AGA09|42.964,2025-09,1.49
XAGUSD H2 AGA04|42.964,2025-09,1.44
XAGUSD H2 AGA06|42.964,2025-09,1.44
XAGUSD H2 AGA09|44.460,2025-09,17.02
XAGUSD H2 AGA04|44.460,2025-09,8.12
XAGUSD H2 AGA06|44.460,2025-09,25.24
XAGUSD H2 AGA09|47.177,2025-10,2.02
XAGUSD H2 AGA04|47.177,2025-10,3.02
XAGUSD H2 AGA06|47.177,2025-10,2.02
