emp_2026_xag.htm — EagleOwl_v1 · XAGUSD.p · 822 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2026
XAGUSD H2 AGA04|71.328     3     1090   inf 363.38       0 9084.50    0    3 |  1090/3  
XAGUSD H2 AGA09|71.328     3     1009   inf 336.43       0 8410.75    0    3 |  1009/3  
XAGUSD H2 AGA06|71.328     2      615   inf 307.63       0 7690.75    0    2 |   615/2  
XAGUSD H2 AGA06|60.091     5      415 33.87  83.00      13  31.83    0    4 |   415/5  
XAGUSD H2 AGA04|71.967     1      272   inf 271.87       0 6796.75    0    1 |   272/1  
XAGUSD H2 AGA09|90.329     1      245   inf 245.47       0 6136.75    0    1 |   245/1  
XAGUSD H2 AGA06|90.329     1      223   inf 222.97       0 5574.25    0    1 |   223/1  
XAGUSD H2 AGA06|63.273     2      205   inf 102.66       0 2566.38    1    1 |   205/2  
XAGUSD H2 AGA04|82.130     1      153   inf 153.32       0 3833.00    0    1 |   153/1  
XAGUSD H2 AGA06|73.934     4      143   inf  35.74       0 893.62    4    0 |   143/4  
XAGUSD H2 AGA09|73.934     4      142   inf  35.59       0 889.88    4    0 |   142/4  
XAGUSD H2 AGA09|82.130     1      139   inf 139.07       0 3476.75    0    1 |   139/1  
XAGUSD H2 AGA09|83.047     2      136 19.65  68.09       7  18.23    0    1 |   136/2  
XAGUSD H2 AGA06|82.130     1      128   inf 127.52       0 3188.00    0    1 |   128/1  
XAGUSD H2 AGA09|59.308     1      117   inf 117.13       0 2928.25    0    1 |   117/1  
XAGUSD H2 AGA09|60.926     3      111   inf  37.00       0 925.08    3    0 |   111/3  
XAGUSD H2 AGA09|62.903     2      109   inf  54.37       0 1359.25    1    0 |   109/2  
XAGUSD H2 AGA09|73.559     1      105   inf 105.27       0 2631.75    1    0 |   105/1  
XAGUSD H2 AGA06|59.308     1       99   inf  99.43       0 2485.75    0    1 |    99/1  
XAGUSD H2 AGA09|67.442     1       98   inf  98.38       0 2459.50    0    1 |    98/1  
XAGUSD H2 AGA04|73.934     4       90   inf  22.51       0 562.69    4    0 |    90/4  
XAGUSD H2 AGA04|60.926     2       81   inf  40.32       0 1008.00    2    0 |    81/2  
XAGUSD H2 AGA04|60.091     5       76  3.46  15.25      32   2.41    0    1 |    76/5  
XAGUSD H2 AGA09|60.091     5       75  3.42  15.03      32   2.38    0    1 |    75/5  
XAGUSD H2 AGA06|60.926     2       74   inf  37.05       0 926.12    2    0 |    74/2  
XAGUSD H2 AGA04|83.047     2       74 11.12  36.89       7   9.88    1    0 |    74/2  
XAGUSD H2 AGA09|61.483     5       72  5.50  14.44      17   4.37    4    0 |    72/5  
XAGUSD H2 AGA09|63.273     1       68   inf  68.23       0 1705.75    1    0 |    68/1  
XAGUSD H2 AGA09|91.267     1       65   inf  65.08       0 1627.00    1    0 |    65/1  
XAGUSD H2 AGA04|63.262     1       61   inf  61.42       0 1535.50    0    0 |    61/1  
XAGUSD H2 AGA06|67.442     1       52   inf  52.48       0 1312.00    1    0 |    52/1  
XAGUSD H2 AGA09|77.747     1       45   inf  45.13       0 1128.25    1    0 |    45/1  
XAGUSD H2 AGA04|77.747     1       45   inf  45.13       0 1128.25    1    0 |    45/1  
XAGUSD H2 AGA06|77.747     1       45   inf  45.13       0 1128.25    1    0 |    45/1  
XAGUSD H2 AGA09|78.049     3       39   inf  13.09       0 327.17    3    0 |    39/3  
XAGUSD H2 AGA06|72.571     1       39   inf  38.72       0 968.00    1    0 |    39/1  
XAGUSD H2 AGA04|66.161     1       39   inf  38.72       0 968.00    1    0 |    39/1  
XAGUSD H2 AGA04|80.991     1       35   inf  35.47       0 886.75    1    0 |    35/1  
XAGUSD H2 AGA09|66.161     1       34   inf  34.37       0 859.25    1    0 |    34/1  
XAGUSD H2 AGA06|66.161     1       34   inf  34.37       0 859.25    1    0 |    34/1  
XAGUSD H2 AGA06|80.991     1       31   inf  30.77       0 769.25    1    0 |    31/1  
XAGUSD H2 AGA04|65.494     1       27   inf  26.82       0 670.50    1    0 |    27/1  
XAGUSD H2 AGA09|65.494     1       26   inf  26.47       0 661.75    1    0 |    26/1  
XAGUSD H2 AGA06|65.494     1       26   inf  26.47       0 661.75    1    0 |    26/1  
XAGUSD H2 AGA09|65.150     1       26   inf  26.03       0 650.75    1    0 |    26/1  
XAGUSD H2 AGA06|56.608     7       26   inf   3.69       0 129.20    7    0 |    26/7  
XAGUSD H2 AGA06|73.085     3       25   inf   8.24       0 205.92    3    0 |    25/3  
XAGUSD H2 AGA06|57.219     6       23   inf   3.79       0  94.67    6    0 |    23/6  
XAGUSD H2 AGA09|72.571     2       22  2.29  11.17      18   1.27    1    0 |    22/2  
XAGUSD H2 AGA09|72.449     5       21   inf   4.13       0 103.25    5    0 |    21/5  
XAGUSD H2 AGA09|67.470     1       20   inf  20.42       0 510.50    1    0 |    20/1  
XAGUSD H2 AGA06|73.953     2       20   inf  10.07       0 251.75    2    0 |    20/2  
XAGUSD H2 AGA06|86.278     2       20   inf  10.00       0 249.88    2    0 |    20/2  
XAGUSD H2 AGA04|86.278     2       20   inf   9.97       0 249.25    2    0 |    20/2  
XAGUSD H2 AGA04|73.953     2       20   inf   9.97       0 249.25    2    0 |    20/2  
XAGUSD H2 AGA06|57.058     6       20   inf   3.26       0  81.54    6    0 |    20/6  
XAGUSD H2 AGA04|67.442     1       20   inf  19.52       0 488.00    1    0 |    20/1  
XAGUSD H2 AGA09|72.184     2       19   inf   9.47       0 236.75    2    0 |    19/2  
XAGUSD H2 AGA06|63.313     7       19   inf   2.67       0  66.75    7    0 |    19/7  
XAGUSD H2 AGA09|67.184     1       17   inf  17.12       0 428.00    1    0 |    17/1  
XAGUSD H2 AGA09|86.278     2       17   inf   8.42       0 210.50    2    0 |    17/2  
XAGUSD H2 AGA06|61.483     4       17   inf   4.17       0 104.25    4    0 |    17/4  
XAGUSD H2 AGA09|77.928     2       16   inf   8.02       0 200.50    2    0 |    16/2  
XAGUSD H2 AGA06|79.596     2       16   inf   7.98       0 199.50    2    0 |    16/2  
XAGUSD H2 AGA09|79.596     2       16   inf   7.83       0 195.75    2    0 |    16/2  
XAGUSD H2 AGA06|77.928     2       15   inf   7.60       0 189.88    2    0 |    15/2  
XAGUSD H2 AGA04|77.928     2       15   inf   7.37       0 184.25    2    0 |    15/2  
XAGUSD H2 AGA09|73.085     3       12  4.43   4.00       4   3.15    2    0 |    12/3  
XAGUSD H2 AGA09|75.403     5       12  2.41   2.37       9   1.30    4    0 |    12/5  
XAGUSD H2 AGA04|89.026     2       12   inf   5.82       0 145.50    2    0 |    12/2  
XAGUSD H2 AGA09|57.058     6       11  3.62   1.90       5   2.27    5    0 |    11/6  
XAGUSD H2 AGA09|57.219     6       11  2.61   1.85       8   1.45    5    0 |    11/6  
XAGUSD H2 AGA06|75.403     5       11  2.31   2.19       9   1.20    4    0 |    11/5  
XAGUSD H2 AGA06|63.504     4       10   inf   2.60       0  65.12    4    0 |    10/4  
XAGUSD H2 AGA04|75.403     5       10  2.06   2.04      10   0.98    4    0 |    10/5  
XAGUSD H2 AGA04|84.004     1       10   inf   9.62       0 240.50    1    0 |    10/1  
XAGUSD H2 AGA06|84.004     1       10   inf   9.62       0 240.50    1    0 |    10/1  
XAGUSD H2 AGA06|91.267     1       10   inf   9.57       0 239.25    1    0 |    10/1  
XAGUSD H2 AGA06|93.680     2        9   inf   4.57       0 114.25    2    0 |     9/2  
XAGUSD H2 AGA04|64.741     1        9   inf   9.02       0 225.50    1    0 |     9/1  
XAGUSD H2 AGA09|85.236     1        9   inf   8.92       0 223.00    1    0 |     9/1  
XAGUSD H2 AGA06|85.236     1        9   inf   8.92       0 223.00    1    0 |     9/1  
XAGUSD H2 AGA04|85.236     1        9   inf   8.92       0 223.00    1    0 |     9/1  
XAGUSD H2 AGA04|72.184     2        9   inf   4.32       0 108.00    2    0 |     9/2  
XAGUSD H2 AGA09|92.200     1        9   inf   8.57       0 214.25    1    0 |     9/1  
XAGUSD H2 AGA04|71.783     2        8   inf   4.15       0 103.63    2    0 |     8/2  
XAGUSD H2 AGA09|84.004     1        8   inf   8.27       0 206.75    1    0 |     8/1  
XAGUSD H2 AGA04|92.200     1        8   inf   8.02       0 200.50    1    0 |     8/1  
XAGUSD H2 AGA09|71.783     2        8   inf   3.92       0  98.00    2    0 |     8/2  
XAGUSD H2 AGA04|79.596     1        8   inf   7.53       0 188.25    1    0 |     8/1  
XAGUSD H2 AGA04|90.329     1        7   inf   6.77       0 169.25    1    0 |     7/1  
XAGUSD H2 AGA04|77.040     1        7   inf   6.72       0 168.00    1    0 |     7/1  
XAGUSD H2 AGA04|59.666     2        7   inf   3.32       0  83.00    2    0 |     7/2  
XAGUSD H2 AGA09|74.525     1        6   inf   6.37       0 159.25    1    0 |     6/1  
XAGUSD H2 AGA06|74.525     1        6   inf   6.37       0 159.25    1    0 |     6/1  
XAGUSD H2 AGA09|77.040     1        6   inf   6.32       0 158.00    1    0 |     6/1  
XAGUSD H2 AGA06|77.040     1        6   inf   6.32       0 158.00    1    0 |     6/1  
XAGUSD H2 AGA04|74.525     1        6   inf   6.22       0 155.50    1    0 |     6/1  
XAGUSD H2 AGA04|76.115     1        6   inf   6.17       0 154.25    1    0 |     6/1  
XAGUSD H2 AGA06|59.666     2        6   inf   3.07       0  76.75    2    0 |     6/2  
XAGUSD H2 AGA09|64.741     1        6   inf   6.12       0 153.00    1    0 |     6/1  
XAGUSD H2 AGA06|64.741     1        6   inf   6.12       0 153.00    1    0 |     6/1  
XAGUSD H2 AGA09|86.848     1        6   inf   6.07       0 151.75    1    0 |     6/1  
XAGUSD H2 AGA09|76.823     1        6   inf   6.02       0 150.50    1    0 |     6/1  
XAGUSD H2 AGA06|95.863     3        6   inf   2.00       0  50.08    3    0 |     6/3  
XAGUSD H2 AGA04|77.624     1        6   inf   5.97       0 149.25    1    0 |     6/1  
XAGUSD H2 AGA09|59.666     2        6   inf   2.97       0  74.25    2    0 |     6/2  
XAGUSD H2 AGA09|76.115     1        6   inf   5.82       0 145.50    1    0 |     6/1  
XAGUSD H2 AGA06|76.115     1        6   inf   5.82       0 145.50    1    0 |     6/1  
XAGUSD H2 AGA06|77.624     1        6   inf   5.82       0 145.50    1    0 |     6/1  
XAGUSD H2 AGA09|80.472     6        6  1.14   0.96      46   0.13    5    0 |     6/6  
XAGUSD H2 AGA09|77.624     1        6   inf   5.62       0 140.50    1    0 |     6/1  
XAGUSD H2 AGA09|65.470     1        5   inf   5.37       0 134.25    1    0 |     5/1  
XAGUSD H2 AGA06|76.823     1        5   inf   5.32       0 133.00    1    0 |     5/1  
XAGUSD H2 AGA09|80.991     2        5  1.20   2.50      26   0.19    1    0 |     5/2  
XAGUSD H2 AGA04|57.219     4        5  1.79   1.15       7   0.70    3    0 |     5/4  
XAGUSD H2 AGA06|89.026     1        4   inf   4.42       0 110.50    1    0 |     4/1  
XAGUSD H2 AGA04|83.898     1        4   inf   4.27       0 106.75    1    0 |     4/1  
XAGUSD H2 AGA04|63.273     1        4   inf   4.17       0 104.25    1    0 |     4/1  
XAGUSD H2 AGA04|73.859     1        4   inf   4.12       0 103.00    1    0 |     4/1  
XAGUSD H2 AGA06|71.783     1        4   inf   4.12       0 103.00    1    0 |     4/1  
XAGUSD H2 AGA09|83.898     1        4   inf   4.07       0 101.75    1    0 |     4/1  
XAGUSD H2 AGA04|76.665     1        4   inf   4.07       0 101.75    1    0 |     4/1  
XAGUSD H2 AGA09|76.951     1        4   inf   3.97       0  99.25    1    0 |     4/1  
XAGUSD H2 AGA04|76.951     1        4   inf   3.97       0  99.25    1    0 |     4/1  
XAGUSD H2 AGA06|76.951     1        4   inf   3.97       0  99.25    1    0 |     4/1  
XAGUSD H2 AGA09|76.665     1        4   inf   3.97       0  99.25    1    0 |     4/1  
XAGUSD H2 AGA06|76.665     1        4   inf   3.97       0  99.25    1    0 |     4/1  
XAGUSD H2 AGA04|57.058     6        4  1.53   0.64       9   0.44    4    0 |     4/6  
XAGUSD H2 AGA04|82.741     1        4   inf   3.62       0  90.50    1    0 |     4/1  
XAGUSD H2 AGA06|83.898     1        4   inf   3.62       0  90.50    1    0 |     4/1  
XAGUSD H2 AGA09|73.859     1        4   inf   3.52       0  88.00    1    0 |     4/1  
XAGUSD H2 AGA06|73.859     1        4   inf   3.52       0  88.00    1    0 |     4/1  
XAGUSD H2 AGA04|59.308     1        3   inf   2.92       0  73.00    1    0 |     3/1  
XAGUSD H2 AGA04|67.470     1        3   inf   2.82       0  70.50    1    0 |     3/1  
XAGUSD H2 AGA04|66.478     1        3   inf   2.77       0  69.25    1    0 |     3/1  
XAGUSD H2 AGA06|66.478     1        3   inf   2.77       0  69.25    1    0 |     3/1  
XAGUSD H2 AGA09|67.332     1        3   inf   2.72       0  68.00    1    0 |     3/1  
XAGUSD H2 AGA04|67.332     1        3   inf   2.72       0  68.00    1    0 |     3/1  
XAGUSD H2 AGA06|67.332     1        3   inf   2.72       0  68.00    1    0 |     3/1  
XAGUSD H2 AGA06|67.470     1        2   inf   2.42       0  60.50    1    0 |     2/1  
XAGUSD H2 AGA06|67.184     1        2   inf   2.37       0  59.25    1    0 |     2/1  
XAGUSD H2 AGA04|65.470     1        2   inf   2.12       0  53.00    1    0 |     2/1  
XAGUSD H2 AGA09|66.478     1        2   inf   2.12       0  53.00    1    0 |     2/1  
XAGUSD H2 AGA04|73.085     3        0  1.09   0.02       4   0.02    1    0 |     0/3  
XAGUSD H2 AGA09|66.564     1       -1  0.00  -0.80       1  -1.00    1    0 |    -1/1  
XAGUSD H2 AGA09|66.796     1       -1  0.00  -0.90       1  -1.00    1    0 |    -1/1  
XAGUSD H2 AGA06|65.470     1       -2  0.00  -2.28       2  -1.00    1    0 |    -2/1  
XAGUSD H2 AGA06|66.796     1       -3  0.00  -2.60       3  -1.00    1    0 |    -3/1  
XAGUSD H2 AGA04|66.796     1       -3  0.00  -2.65       3  -1.00    1    0 |    -3/1  
XAGUSD H2 AGA06|66.564     1       -3  0.00  -3.30       3  -1.00    1    0 |    -3/1  
XAGUSD H2 AGA04|70.019     2       -4  0.78  -2.00      17  -0.23    1    0 |    -4/2  
XAGUSD H2 AGA09|78.881     2       -5  0.83  -2.35      28  -0.17    1    0 |    -5/2  
XAGUSD H2 AGA04|63.313     9       -7  0.66  -0.73      18  -0.37    4    0 |    -7/9  
XAGUSD H2 AGA06|70.019     2       -7  0.60  -3.43      17  -0.41    1    0 |    -7/2  
XAGUSD H2 AGA09|70.019     2       -7  0.57  -3.68      17  -0.43    1    0 |    -7/2  
XAGUSD H2 AGA09|95.863     4       -9  0.44  -2.17      15  -0.57    3    0 |    -9/4  
XAGUSD H2 AGA09|63.504     4      -10  0.22  -2.50      13  -0.78    1    0 |   -10/4  
XAGUSD H2 AGA09|89.026     3      -10  0.54  -3.40      22  -0.47    2    0 |   -10/3  
XAGUSD H2 AGA04|95.863     4      -10  0.33  -2.57      15  -0.68    3    0 |   -10/4  
XAGUSD H2 AGA04|56.608     5      -10  0.00  -2.06      10  -1.00    0    0 |   -10/5  
XAGUSD H2 AGA04|63.504     4      -10  0.21  -2.58      13  -0.79    1    0 |   -10/4  
XAGUSD H2 AGA04|72.571     2      -13  0.29  -6.28      18  -0.71    1    0 |   -13/2  
XAGUSD H2 AGA04|93.680     2      -14  0.27  -6.78      18  -0.74    1    0 |   -14/2  
XAGUSD H2 AGA09|63.313     9      -14  0.46  -1.56      25  -0.55    4    0 |   -14/9  
XAGUSD H2 AGA09|93.680     2      -15  0.24  -7.33      19  -0.76    1    0 |   -15/2  
XAGUSD H2 AGA04|61.483     5      -19  0.40  -3.85      32  -0.61    3    0 |   -19/5  
XAGUSD H2 AGA09|73.953     2      -21  0.00 -10.28      21  -1.00    0    0 |   -21/2  
XAGUSD H2 AGA06|59.567     1      -36  0.00 -35.83      36  -1.00    0    1 |   -36/1  
XAGUSD H2 AGA09|59.567     1      -36  0.00 -36.28      36  -1.00    0    1 |   -36/1  
XAGUSD H2 AGA04|60.759     1      -39  0.00 -39.28      39  -1.00    0    1 |   -39/1  
XAGUSD H2 AGA09|60.759     1      -40  0.00 -39.78      40  -1.00    0    1 |   -40/1  
XAGUSD H2 AGA06|60.759     1      -42  0.00 -42.38      42  -1.00    0    1 |   -42/1  
XAGUSD H2 AGA09|82.741     1      -43  0.00 -43.43      43  -1.00    0    1 |   -43/1  
XAGUSD H2 AGA06|82.741     1      -43  0.00 -43.43      43  -1.00    0    1 |   -43/1  
XAGUSD H2 AGA04|59.567     1      -46  0.00 -45.53      46  -1.00    0    1 |   -46/1  
XAGUSD H2 AGA09|69.538     1      -49  0.00 -48.68      49  -1.00    0    0 |   -49/1  
XAGUSD H2 AGA04|69.538     1      -49  0.00 -48.68      49  -1.00    0    0 |   -49/1  
XAGUSD H2 AGA06|69.538     1      -49  0.00 -48.68      49  -1.00    0    0 |   -49/1  
