emp_n150_xag.htm — EagleOwl_v1 · XAGUSD.p · 4328 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
XAGUSD H2 AGA09|29.667     4      152   inf  37.96       0 949.06    0    4 |     0/0       0/0       0/0     152/4  
XAGUSD H2 AGA04|28.518     5      141   inf  28.25       0 706.15    0    5 |     0/0       0/0       0/0     141/5  
XAGUSD H2 AGA06|29.667     4      138   inf  34.38       0 859.38    0    4 |     0/0       0/0       0/0     138/4  
XAGUSD H2 AGA04|32.175     8      131  5.85  16.35      28   4.72    0    6 |     0/0       0/0       0/0     131/8  
XAGUSD H2 AGA09|28.518     5      130   inf  26.03       0 650.65    0    5 |     0/0       0/0       0/0     130/5  
XAGUSD H2 AGA06|28.518     5      117   inf  23.45       0 586.20    0    5 |     0/0       0/0       0/0     117/5  
XAGUSD H2 AGA06|24.572     4      105   inf  26.26       0 656.44    0    4 |     0/0     105/4       0/0       0/0  
XAGUSD H2 AGA04|27.305     3      105   inf  34.92       0 873.00    0    3 |     0/0       0/0       0/0     105/3  
XAGUSD H2 AGA06|30.822     7      103 32.27  14.66       4  26.59    2    3 |     0/0       0/0       0/0     103/7  
XAGUSD H2 AGA09|32.175     8      100  3.34  12.48      44   2.29    0    8 |     0/0       0/0       0/0     100/8  
XAGUSD H2 AGA06|24.404     5       97  8.28  19.42      14   7.04    1    4 |    97/5       0/0       0/0       0/0  
XAGUSD H2 AGA09|27.305     3       97   inf  32.17       0 804.25    0    3 |     0/0       0/0       0/0      97/3  
XAGUSD H2 AGA09|23.381     4       89   inf  22.18       0 554.56    0    4 |    89/4       0/0       0/0       0/0  
XAGUSD H2 AGA06|27.305     3       88   inf  29.40       0 735.08    0    3 |     0/0       0/0       0/0      88/3  
XAGUSD H2 AGA09|24.572     3       86   inf  28.60       0 715.08    0    3 |     0/0      86/3       0/0       0/0  
