t_in,t_out,dir,vol,p_in,p_out,pl,exit,dist
2021-01-04 01:01:00,2021-01-04 03:06:00,buy,0.01,1910.07,1915.28,5.13,-,5.21
2021-01-04 12:26:00,2021-01-04 15:20:00,buy,0.02,1930.45,1936.88,12.719999999999999,-,6.43
2021-01-04 10:28:00,2021-01-04 15:20:00,buy,0.01,1935.03,1936.88,1.77,-,1.85
2021-01-08 16:07:00,2021-01-08 16:43:39,buy,0.01,1889.15,1871.97,-17.259999999999998,sl,17.18
2021-01-08 16:34:00,2021-01-08 16:45:42,buy,0.02,1883.93,1867.07,-33.86,sl,16.85
2021-01-08 16:44:00,2021-01-08 17:17:28,buy,0.02,1871.93,1855.69,-32.62,sl,16.23
2021-01-08 16:50:00,2021-01-08 18:01:00,buy,0.02,1866.75,1864.87,22.22,-,1.88
2021-01-08 17:18:00,2021-01-08 18:01:00,buy,0.02,1853.69,1864.87,-3.8999999999999995,-,11.18
2021-01-11 18:37:00,2021-01-11 20:18:00,buy,0.02,1845.35,1851.39,11.94,-,6.04
2021-01-11 22:24:00,2021-01-12 05:34:00,buy,0.02,1845.27,1851.69,11.11,-,6.42
2021-01-11 17:52:00,2021-01-12 05:34:00,buy,0.01,1850.02,1851.69,0.7999999999999998,-,1.67
2021-01-20 16:11:00,2021-01-20 16:22:00,buy,0.01,1853.7,1858.82,5.04,-,5.12
2021-01-20 16:53:00,2021-01-20 17:16:00,buy,0.02,1856.58,1863.36,13.42,-,6.78
2021-01-20 16:42:00,2021-01-20 17:16:00,buy,0.01,1862.73,1863.36,0.5499999999999999,-,0.63
2021-01-25 14:05:00,2021-01-25 15:24:00,buy,0.02,1860.74,1867.23,12.84,-,6.49
2021-01-25 13:07:00,2021-01-25 15:24:00,buy,0.01,1865.84,1867.23,1.3099999999999998,-,1.39
2021-01-28 15:49:00,2021-01-28 16:01:00,buy,0.01,1853.36,1858.13,4.6899999999999995,-,4.77
2021-01-28 16:20:00,2021-01-28 16:33:00,buy,0.01,1856.77,1861.85,5.0,-,5.08
2021-01-28 16:59:00,2021-01-28 17:22:00,buy,0.02,1854.43,1862.8,16.599999999999998,-,8.37
2021-01-28 16:51:00,2021-01-28 17:22:00,buy,0.01,1861.31,1862.8,1.41,-,1.49
2021-01-28 18:45:00,2021-01-28 20:08:36,buy,0.01,1852.92,1835.37,-17.63,sl,17.55
2021-01-28 18:57:00,2021-01-28 20:48:00,buy,0.02,1846.58,1842.47,12.02,-,4.11
2021-01-28 20:09:00,2021-01-29 08:52:00,buy,0.02,1836.39,1850.42,15.329999999999998,-,14.03
2021-01-28 20:50:00,2021-01-29 08:52:00,buy,0.02,1841.89,1850.42,5.949999999999999,-,8.53
2021-02-05 13:56:00,2021-02-05 18:37:00,buy,0.02,1804.1,1810.4,12.459999999999999,-,6.3
2021-02-05 10:24:00,2021-02-05 18:37:00,buy,0.01,1808.67,1810.4,1.65,-,1.73
2021-02-10 15:33:00,2021-02-10 15:46:00,buy,0.01,1850.15,1854.77,4.54,-,4.62
2021-02-12 17:52:00,2021-02-15 06:45:39,buy,0.01,1826.97,1821.94,-5.9,sl,5.01
2021-02-12 19:47:00,2021-02-15 06:45:39,buy,0.02,1822.4,1821.94,-2.65,sl,0.44
2021-02-16 18:16:00,2021-02-17 01:06:23,buy,0.01,1808.5,1791.62,-17.75,sl,16.87
2021-02-16 18:26:00,2021-02-17 01:09:38,buy,0.02,1803.91,1786.82,-35.910000000000004,sl,17.09
2021-02-17 01:07:00,2021-02-17 08:14:04,buy,0.02,1791.41,1789.22,-4.5200000000000005,sl,2.17
2021-02-19 16:24:00,2021-02-19 16:48:00,buy,0.02,1780.27,1787.96,15.24,-,7.69
2021-02-19 16:03:00,2021-02-19 16:48:00,buy,0.01,1784.94,1787.96,2.94,-,3.02
2021-03-08 01:48:00,2021-03-08 04:03:00,buy,0.02,1707.66,1713.94,12.42,-,6.28
2021-03-08 01:19:00,2021-03-08 04:03:00,buy,0.01,1712.46,1713.94,1.4,-,1.48
2021-03-08 17:44:00,2021-03-09 04:19:00,buy,0.02,1681.15,1687.67,11.309999999999999,-,6.52
2021-03-08 17:16:00,2021-03-09 04:19:00,buy,0.01,1686.61,1687.67,0.18999999999999997,-,1.06
2021-03-10 15:42:00,2021-03-10 20:27:00,buy,0.02,1715.98,1723.0,13.899999999999999,-,7.02
2021-03-10 15:35:00,2021-03-10 22:47:00,buy,0.01,1721.41,1726.02,4.53,-,4.61
2021-03-12 18:49:00,2021-03-12 20:55:00,buy,0.01,1719.61,1724.53,4.84,-,4.92
2021-03-15 17:50:00,2021-03-15 19:10:00,buy,0.01,1724.47,1729.12,4.57,-,4.65
2021-03-17 21:14:00,2021-03-17 21:43:00,buy,0.01,1741.86,1746.86,4.92,-,5.0
2021-03-17 22:51:00,2021-03-18 03:09:00,buy,0.02,1743.72,1749.88,7.41,-,6.16
2021-03-17 21:46:00,2021-03-18 03:09:00,buy,0.01,1748.38,1749.88,-0.96,-,1.5
2021-03-25 16:39:00,2021-03-25 20:01:34,buy,0.01,1743.45,1726.38,-17.15,sl,17.06
2021-03-25 16:54:00,2021-03-26 19:00:00,buy,0.02,1738.72,1733.98,14.509999999999998,-,4.74
2021-03-26 19:01:00,2021-03-29 07:56:59,buy,0.02,1734.04,1727.64,-25.48,sl,6.39
2021-03-25 20:02:00,2021-03-29 07:56:59,buy,0.02,1725.86,1727.64,-14.530000000000001,sl,1.79
2021-03-31 15:08:00,2021-03-31 15:42:00,buy,0.01,1683.62,1688.85,5.15,-,5.23
2021-03-31 17:53:00,2021-03-31 19:18:00,buy,0.01,1705.06,1709.92,4.78,-,4.86
2021-04-12 16:15:00,2021-04-13 06:57:59,buy,0.01,1738.15,1731.35,-7.67,sl,6.79
2021-04-12 16:54:00,2021-04-13 06:57:59,buy,0.02,1732.67,1731.35,-4.370000000000001,sl,1.31
2021-04-13 15:43:00,2021-04-13 16:32:00,buy,0.01,1739.81,1744.46,4.57,-,4.65
2021-04-13 16:40:00,2021-04-14 16:11:29,buy,0.01,1747.56,1740.64,-7.79,sl,6.92
2021-04-13 17:19:00,2021-04-14 16:11:29,buy,0.02,1743.04,1740.64,-6.53,sl,2.4
2021-04-15 17:10:00,2021-04-15 17:39:00,buy,0.01,1760.64,1765.46,4.74,-,4.82
2021-04-16 16:30:00,2021-04-16 17:26:00,buy,0.01,1774.64,1780.13,5.41,-,5.49
2021-04-20 05:42:00,2021-04-20 06:11:00,buy,0.02,1765.91,1773.1,14.24,-,7.19
