jeu,mois,net
XAGUSD H2 AGA04,2021-01,53.69
XAGUSD H2 AGA04,2021-02,-36.13
XAGUSD H2 AGA04,2021-03,-26.28
XAGUSD H2 AGA04,2021-04,-31.23
XAGUSD H2 AGA04,2021-05,58.08
XAGUSD H2 AGA04,2021-06,-73.96
XAGUSD H2 AGA04,2021-07,69.49
XAGUSD H2 AGA04,2021-08,-35.28
XAGUSD H2 AGA04,2021-09,58.41
XAGUSD H2 AGA04,2021-10,12.18
XAGUSD H2 AGA04,2021-11,-38.38
XAGUSD H2 AGA04,2021-12,-24.88
XAGUSD H2 AGA04,2022-01,-20.55
XAGUSD H2 AGA04,2022-02,-54.48
XAGUSD H2 AGA04,2022-03,38.83
XAGUSD H2 AGA04,2022-04,-8.10
XAGUSD H2 AGA04,2022-05,51.37
XAGUSD H2 AGA04,2022-06,-23.85
XAGUSD H2 AGA04,2022-07,-10.27
XAGUSD H2 AGA04,2022-08,8.84
XAGUSD H2 AGA04,2022-09,18.21
XAGUSD H2 AGA04,2022-10,4.05
XAGUSD H2 AGA04,2022-11,0.10
XAGUSD H2 AGA04,2022-12,-20.13
XAGUSD H2 AGA04,2023-01,2.59
XAGUSD H2 AGA04,2023-02,22.47
XAGUSD H2 AGA04,2023-03,30.93
XAGUSD H2 AGA04,2023-04,-5.77
XAGUSD H2 AGA04,2023-05,-2.68
XAGUSD H2 AGA04,2023-06,32.88
XAGUSD H2 AGA04,2023-07,3.77
XAGUSD H2 AGA04,2023-08,25.57
XAGUSD H2 AGA04,2023-09,14.97
XAGUSD H2 AGA04,2023-10,34.94
XAGUSD H2 AGA04,2023-11,126.52
XAGUSD H2 AGA04,2023-12,24.09
XAGUSD H2 AGA04,2024-01,32.86
XAGUSD H2 AGA04,2024-02,-40.67
XAGUSD H2 AGA04,2024-03,26.50
XAGUSD H2 AGA04,2024-04,134.76
XAGUSD H2 AGA04,2024-05,50.71
XAGUSD H2 AGA04,2024-06,41.94
XAGUSD H2 AGA04,2024-07,134.38
XAGUSD H2 AGA04,2024-08,16.26
XAGUSD H2 AGA04,2024-09,34.32
XAGUSD H2 AGA04,2024-10,147.87
XAGUSD H2 AGA04,2024-11,40.11
XAGUSD H2 AGA04,2024-12,59.85
XAGUSD H2 AGA09,2021-01,16.19
XAGUSD H2 AGA09,2021-02,-17.67
XAGUSD H2 AGA09,2021-03,-25.43
XAGUSD H2 AGA09,2021-04,-65.49
XAGUSD H2 AGA09,2021-05,55.30
XAGUSD H2 AGA09,2021-06,-139.94
XAGUSD H2 AGA09,2021-07,107.42
XAGUSD H2 AGA09,2021-08,-55.59
XAGUSD H2 AGA09,2021-09,150.30
XAGUSD H2 AGA09,2021-10,5.90
XAGUSD H2 AGA09,2021-11,-42.43
XAGUSD H2 AGA09,2021-12,-15.46
XAGUSD H2 AGA09,2022-01,-30.58
XAGUSD H2 AGA09,2022-02,-59.70
XAGUSD H2 AGA09,2022-03,147.79
XAGUSD H2 AGA09,2022-04,-21.50
XAGUSD H2 AGA09,2022-05,33.71
XAGUSD H2 AGA09,2022-06,-73.21
XAGUSD H2 AGA09,2022-07,52.68
XAGUSD H2 AGA09,2022-08,-59.99
XAGUSD H2 AGA09,2022-09,16.93
XAGUSD H2 AGA09,2022-10,48.55
XAGUSD H2 AGA09,2022-11,-0.31
XAGUSD H2 AGA09,2022-12,-14.98
XAGUSD H2 AGA09,2023-01,12.45
XAGUSD H2 AGA09,2023-02,-10.94
XAGUSD H2 AGA09,2023-03,35.20
XAGUSD H2 AGA09,2023-04,19.92
XAGUSD H2 AGA09,2023-05,76.97
