famille;symbole;magic;robot;sens;entree_serveur;dt_entree_s;sortie_U;sortie_V;type_entree;p0_U;p0_V;p1_U;p1_V;gliss_entree_U_usd;gliss_entree_V_usd;gliss_sortie_U_usd;gliss_sortie_V_usd;ecart_U_usd;ecart_V_usd;frais_U_usd;frais_V_usd;pl_U_usd;pl_V_usd;lat_U_ms;lat_V_ms
change;USDJPY;997;Adv_Scalp_USDJPY_H1SL22;achat;18/09 05:54:17;0.4;[tp 156.914];[tp 156.912];attente;156.438;156.418;156.918;156.92;0.152;0.038;-0.025;-0.051;0.101;0.12;0.0;0.0;3.06;3.2;;
change;AUDCAD;20260904;Heron;vente;21/09 04:00:00;0.4;;;marché;0.99727;0.99725;0.99763;0.99761;-0.0;0.007;0.014;-0.0;0.113;0.12;-0.06;-0.06;-0.32;-0.32;496;137
change;AUDCAD;20260904;Heron;vente;21/09 10:00:00;0.3;;;marché;0.99909;0.99909;0.99763;0.99762;-0.0;-0.007;0.014;0.007;0.113;0.12;-0.06;-0.06;0.98;0.99;397;125
change;GBPUSD;20260902;Zebra;achat;21/09 14:55:44;0.8;[sl 1.33712];[sl 1.33711];attente;1.33976;1.33975;1.33712;1.33711;0.0;0.0;0.0;0.0;0.14;0.16;0.0;0.0;-2.64;-2.64;;
change;EURUSD;20260903;Zebra;achat;21/09 14:56:07;0.8;[sl 1.14713];[sl 1.14713];attente;1.14914;1.14914;1.14713;1.14713;0.01;0.01;0.0;0.0;0.12;0.13;0.0;0.0;-2.01;-2.01;;
change;NZDCAD;20260905;Heron;vente;21/09 15:00:00;0.4;;;?;0.80286;0.80287;0.80102;0.80105;;;0.007;0.028;;;-0.02;-0.02;1.29;1.28;;
or;XAUUSD;20260901;Zebra;vente;21/09 17:03:31;0.1;[sl 4334.31];[sl 4334.31];attente;4334.42;4334.37;4334.44;4334.52;-0.05;-0.0;0.13;0.21;0.21;0.21;0.0;0.0;-0.02;-0.15;;
change;NZDCAD;20260905;Heron;vente;22/09 06:00:00;0.2;;;marché;0.80395;0.80395;0.80299;0.80299;-0.007;-0.007;0.007;0.007;0.113;0.113;-0.02;-0.02;0.66;0.66;348;105
change;NZDCAD;20260905;Heron;vente;22/09 09:00:00;0.2;;;marché;0.80545;0.80548;0.80299;0.80299;0.007;-0.0;0.007;0.007;0.155;0.12;-0.02;-0.02;1.73;1.75;343;142
change;EURUSD;20260903;Zebra;vente;22/09 10:32:30;0.5;[sl 1.14483];;attente;1.14533;1.14542;1.14482;1.14351;0.1;0.01;-0.01;-0.0;0.13;0.15;0.0;0.0;0.51;1.91;;
change;GBPUSD;20260902;Zebra;vente;22/09 11:30:52;0.3;[sl 1.33609];[sl 1.33608];attente;1.33346;1.33345;1.33607;1.3361;-0.01;-0.01;-0.02;0.02;0.15;0.15;0.0;0.0;-2.61;-2.65;;
change;AUDCAD;20260904;Heron;vente;22/09 17:00:00;0.4;;;marché;0.99983;0.99982;0.99926;0.99923;0.014;0.014;-0.0;-0.014;0.106;0.113;-0.06;-0.06;0.34;0.36;336;138
change;AUDCAD;20260904;Heron;vente;22/09 23:00:00;0.4;;;marché;1.0008;1.00082;0.99926;0.99926;0.021;-0.0;0.007;0.007;0.113;0.12;-0.06;-0.06;1.03;1.05;339;128
change;USDJPY;997;Adv_Scalp_USDJPY_H1SL22;achat;23/09 10:05:14;2.2;;;attente;157.774;157.772;157.839;157.837;0.0;0.0;0.0;0.0;0.101;0.114;0.0;0.0;0.41;0.41;;
or;XAUUSD;2006;Gold Reaper 6;vente;23/09 16:42:32;0.9;[sl 4291.24];[sl 4291.82];attente;4292.69;4293.27;4291.28;4291.9;1.44;0.86;0.04;0.08;0.25;0.22;0.0;0.0;1.41;1.37;;
or;XAUUSD;2007;Gold Reaper 7;vente;23/09 16:42:32;0.9;[sl 4292.19];[sl 4292.66];attente;4292.69;4293.16;4292.21;4292.71;1.24;0.77;0.02;0.05;0.25;0.22;0.0;0.0;0.48;0.45;;
or;XAUUSD;2005;Gold Reaper 5;vente;23/09 16:42:32;0.7;[sl 4291.16];[sl 4291.86];attente;4292.5;4293.2;4291.14;4292.04;0.85;0.15;-0.02;0.18;0.25;0.22;0.0;0.0;1.36;1.16;;
or;XAUUSD;20260901;Zebra;vente;23/09 16:42:34;0.3;[sl 4290.36];[sl 4290.83];attente;4290.32;4290.96;4290.42;4291.56;1.19;0.55;0.06;0.73;0.25;0.25;0.0;0.0;-0.1;-0.6;;
change;USDJPY;997;Adv_Scalp_USDJPY_H1SL22;achat;23/09 16:45:24;0.3;;;attente;158.067;158.057;158.181;158.18;0.076;0.025;-0.006;-0.013;0.101;0.12;0.0;0.0;0.72;0.78;;
change;NZDCAD;20260905;Heron;achat;23/09 17:00:00;0.2;;;marché;0.79969;0.79969;0.80074;0.80076;0.0;0.0;0.021;-0.021;0.113;0.113;-0.03;-0.03;0.71;0.73;357;124
change;NZDCAD;20260905;Heron;achat;24/09 01:00:00;0.5;;;marché;0.8009;0.80093;0.80077;0.80072;-0.127;-0.106;-0.028;0.007;1.088;1.088;-0.01;-0.01;-0.1;-0.16;354;142
change;USDJPY;997;Adv_Scalp_USDJPY_H1SL22;achat;24/09 09:22:07;0.6;[sl 158.179];[sl 158.177];attente;158.404;158.397;158.181;158.178;0.032;0.0;-0.013;-0.006;0.101;0.114;0.0;0.0;-1.41;-1.38;;
